row_label_raw,row_label_full,Số cuối năm,Dưới 1 nămVND > Số cuối năm,Từ 1 - 5 nămVND > Số cuối năm,TổngVND > Số cuối năm,numeric__Dưới 1 nămVND > Số cuối năm,numeric__Từ 1 - 5 nămVND > Số cuối năm,numeric__TổngVND > Số cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,13.676.118.684,-,13.676.118.684,13676118684.0,,13676118684.0
Phải thu khách hàng và phải thu khái,Phải thu khách hàng và phải thu khái,Phải thu khách hàng và phải thu khái,20.922.790.704,499.706.000.000,520.628.790.704,20922790704.0,499706000000.0,520628790704.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,834.077.012.986,-,834.077.012.986,834077012986.0,,834077012986.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,1.552.832.297.286,1.552.832.297.286,,1552832297286.0,1552832297286.0
Cộng,Cộng,Cộng,868.675.922.374,2.052.538.297.286,2.921.214.219.660,868675922374.0,2052538297286.0,2921214219660.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,48.262.870.450,-,48.262.870.450,48262870450.0,,48262870450.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,158.045.454,-,158.045.454,158045454.0,,158045454.0
Công nợ tài chính khác,Số cuối năm > Công nợ tài chính khác,Công nợ tài chính khác,164.164.169,-,164.164.169,164164169.0,,164164169.0
Cộng,Số cuối năm > Cộng,Cộng,48.585.080.073,-,48.585.080.073,48585080073.0,,48585080073.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,820.090.842.301,2.052.538.297.286,2.872.629.139.587,820090842301.0,2052538297286.0,2872629139587.0
,,,Dưới 1 nămVND,Từ 1 - 5 nămVND,TổngVND,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Tiền và các khoản tương đương tiền,Số đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,44.439.370.604,-,44.439.370.604,44439370604.0,,44439370604.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,23.980.897.652,202.600.000.000,226.580.897.652,23980897652.0,202600000000.0,226580897652.0
Đầu tư tài chính ngắn hạn,Số đầu năm > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,788.455.939.011,-,788.455.939.011,788455939011.0,,788455939011.0
Đầu tư tài chính dài hạn,Số đầu năm > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,-,1.552.832.297.286,1.552.832.297.286,,1552832297286.0,1552832297286.0
Cộng,Số đầu năm > Cộng,Cộng,856.876.207.267,1.755.432.297.286,2.612.308.504.553,856876207267.0,1755432297286.0,2612308504553.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,48.471.864.210,-,48.471.864.210,48471864210.0,,48471864210.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,948.500.000,-,948.500.000,948500000.0,,948500000.0
Công nợ tài chính khác,Số đầu năm > Công nợ tài chính khác,Công nợ tài chính khác,242.765.018,-,242.765.018,242765018.0,,242765018.0
Cộng,Số đầu năm > Cộng,Cộng,49.663.129.228,-,49.663.129.228,49663129228.0,,49663129228.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,807.213.078.039,1.755.432.297.286,2.562.645.375.325,807213078039.0,1755432297286.0,2562645375325.0
