row_label_raw,row_label_full,TÀISẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
A - TÀISẢN NGĂN HẠN,A - TÀISẢN NGĂN HẠN,A - TÀISẢN NGĂN HẠN,100,,925.120.535.148,1.284.434.210.751,100.0,,925120535148.0,1284434210751.0
I Tiền và các khoản tương đương tiền,I Tiền và các khoản tương đương tiền,I Tiền và các khoản tương đương tiền,110,4,13.676.118.684,44.439.370.604,110.0,4.0,13676118684.0,44439370604.0
1. Tiền,1. Tiền,1. Tiền,111,,13.676.118.684,44.439.370.604,111.0,,13676118684.0,44439370604.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5,834.077.012.986,788.455.939.011,120.0,5.0,834077012986.0,788455939011.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,834.077.012.986,788.455.939.011,123.0,,834077012986.0,788455939011.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,20.922.790.704,26.919.397.652,130.0,,20922790704.0,26919397652.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,,9.972.381.680,14.027.854.498,131.0,,9972381680.0,14027854498.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,,-,2.938.500.000,132.0,,,2938500000.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,6,10.950.409.024,9.953.043.154,136.0,6.0,10950409024.0,9953043154.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,56.404.233.699,398.254.065.182,140.0,,56404233699.0,398254065182.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,7,62.739.705.275,402.792.415.750,141.0,7.0,62739705275.0,402792415750.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(6.335.471.576),(4.538.350.568),149.0,,-6335471576.0,-4538350568.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,40.379.075,26.365.438.302,150.0,,40379075.0,26365438302.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,,-,34.276.714,151.0,,,34276714.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,-,24.581.752.334,152.0,,,24581752334.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,40.379.075,1.749.409.254,153.0,,40379075.0,1749409254.0
B - TÀISẢN DÀI HẠN,B - TÀISẢN DÀI HẠN,B - TÀISẢN DÀI HẠN,200,,2.061.037.611.298,1.762.965.392.384,200.0,,2061037611298.0,1762965392384.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,499.706.000.000,202.600.000.000,210.0,,499706000000.0,202600000000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,6,499.706.000.000,202.600.000.000,216.0,6.0,499706000000.0,202600000000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,6.358.704.925,5.380.286.007,220.0,,6358704925.0,5380286007.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,8,6.358.704.925,5.380.286.007,221.0,8.0,6358704925.0,5380286007.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,10.735.022.391,8.576.213.503,222.0,,10735022391.0,8576213503.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(4.376.317.466),(3.195.927.496),223.0,,-4376317466.0,-3195927496.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,2.128.409.091,2.128.409.091,240.0,,2128409091.0,2128409091.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,,2.128.409.091,2.128.409.091,242.0,,2128409091.0,2128409091.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,5,1.552.832.297.286,1.552.832.297.286,250.0,5.0,1552832297286.0,1552832297286.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.029.032.297.286,1.029.032.297.286,251.0,,1029032297286.0,1029032297286.0
