row_label_raw,row_label_full,Thuế thu nhập doanh nghiệp phải nộp cho năm hiện tại Lợi nhuận trước thuế,Năm nayVND > 58.286.407.204,Năm trướcVND > 41.482.482.002,numeric__Năm nayVND > 58.286.407.204,numeric__Năm trướcVND > 41.482.482.002
Hoạt động khác,Hoạt động khác,Hoạt động khác,58.286.407.204,41.482.482.002,58286407204.0,41482482002.0
Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,Điều chỉnh cho thu nhập chịu thuế,3.497.184.432,6.775.318.215,3497184432.0,6775318215.0
Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,Trừ: Thu nhập không chịu thuế,-,(2.362.843.443),,-2362843443.0
Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,Cộng: Các khoản chi phí không được khấu trừ,3.497.184.432,9.138.161.658,3497184432.0,9138161658.0
Thu nhập chịu thuế,Thu nhập chịu thuế,Thu nhập chịu thuế,61.783.591.636,48.257.800.217,61783591636.0,48257800217.0
Thuế suất thông thường,Thuế suất thông thường,Thuế suất thông thường,20%,20%,0.2,0.2
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,12.336.012.789,9.651.560.043,12336012789.0,9651560043.0
Chi phí thuế thu nhập hiện hành năm nay,Chi phí thuế thu nhập hiện hành năm nay,Chi phí thuế thu nhập hiện hành năm nay,12.336.012.789,9.651.560.043,12336012789.0,9651560043.0
Chi phí thuế thu nhập hiện hành năm trước,Chi phí thuế thu nhập hiện hành năm trước,Chi phí thuế thu nhập hiện hành năm trước,722.299.188,511.713.918,722299188.0,511713918.0
Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành,Chi phí thuế thu nhập hiện hành,13.058.311.977,10.163.273.961,13058311977.0,10163273961.0
