row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc VND,Số cuối năm > Giá trị ghi sổ VND,Số đầu năm > Giá gốc VND,Số đầu năm > Giá trị ghi sổ VND,numeric__Số cuối năm > Giá gốc VND,numeric__Số cuối năm > Giá trị ghi sổ VND,numeric__Số đầu năm > Giá gốc VND,numeric__Số đầu năm > Giá trị ghi sổ VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,834.077.012.986,834.077.012.986,788.455.939.011,788.455.939.011,834077012986.0,834077012986.0,788455939011.0,788455939011.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,834.077.012.986,834.077.012.986,788.455.939.011,788.455.939.011,834077012986.0,834077012986.0,788455939011.0,788455939011.0
Cộng,Cộng,Cộng,834.077.012.986,834.077.012.986,788.455.939.011,788.455.939.011,834077012986.0,834077012986.0,788455939011.0,788455939011.0
