row_label_raw,row_label_full,col_0,Tại 31/12/2018,Tại 31/12/2018_1,Số đầu năm,Số đầu năm_1,numeric__Tại 31/12/2018,numeric__Tại 31/12/2018_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,VND,%,VND,%,,,,
Công ty CP Đầu tư Dịch vụ Tài chính Hoàng Huy,Công ty CP Đầu tư Dịch vụ Tài chính Hoàng Huy,Công ty CP Đầu tư Dịch vụ Tài chính Hoàng Huy,1.004.893.340.000,"36,58",1.004.893.340.000,"36,58",1004893340000.0,36.58,1004893340000.0,36.58
Ông Đỗ Hữu Hạ,Ông Đỗ Hữu Hạ,Ông Đỗ Hữu Hạ,148.000.000.000,"5,39",48.000.000.000,"1,75",148000000000.0,5.39,48000000000.0,1.75
Cổ đông khác,Cổ đông khác,Cổ đông khác,1.594.547.290.000,"58,03",1.694.547.290.000,"61,67",1594547290000.0,58.03,1694547290000.0,61.67
Cộng,Cộng,Cộng,2.747.440.630.000,100,2.747.440.630.000,100,2747440630000.0,100.0,2747440630000.0,100.0
