row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh số 19.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh số 19.1),Vay ngân hàng(Thuyết minh số 19.1),472.270.946.760,472.270.946.760,38.101.631.925,(472.270.946.760),38.101.631.925,38.101.631.925,472270946760.0,472270946760.0,38101631925.0,-472270946760.0,38101631925.0,38101631925.0
Vay đối tượng khác(Thuyết minh số 19.2),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 19.2),Vay đối tượng khác(Thuyết minh số 19.2),65.189.985.483,65.189.985.483,11.846.484.722,(13.985.610.378),63.050.859.827,63.050.859.827,65189985483.0,65189985483.0,11846484722.0,-13985610378.0,63050859827.0,63050859827.0
Vay các bên liên quan(Thuyết minh số 29.3),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 29.3),Vay các bên liên quan(Thuyết minh số 29.3),-,-,46.333.333.333,-,46.333.333.333,46.333.333.333,,,46333333333.0,,46333333333.0,46333333333.0
Vay dài hạn đến hạn trả (Thuyết minh 19.1),Vay ngắn hạn > Vay dài hạn đến hạn trả (Thuyết minh 19.1),Vay dài hạn đến hạn trả (Thuyết minh 19.1),268.791.414.363,268.791.414.363,601.464.005.376,(268.791.414.363),601.464.005.376,601.464.005.376,268791414363.0,268791414363.0,601464005376.0,-268791414363.0,601464005376.0,601464005376.0
Trái phiếu dài hạn đến hạn trả(Thuyết minh số 19.3),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả(Thuyết minh số 19.3),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 19.3),482.736.488.993,482.736.488.993,211.770.037.033,(484.600.000.000),209.906.526.026,209.906.526.026,482736488993.0,482736488993.0,211770037033.0,-484600000000.0,209906526026.0,209906526026.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.288.988.835.599,1.288.988.835.599,909.515.492.389,(1.239.647.971.501),958.856.356.487,958.856.356.487,1288988835599.0,1288988835599.0,909515492389.0,-1239647971501.0,958856356487.0,958856356487.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 19.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 19.1),Vay ngân hàng(Thuyết minh số 19.1),5.460.859.886.487,5.460.859.886.487,1.146.530.589.035,(1.771.544.840.107),4.835.845.635.415,4.835.845.635.415,5460859886487.0,5460859886487.0,1146530589035.0,-1771544840107.0,4835845635415.0,4835845635415.0
Vay các bên liên quan(Thuyết minh số 29.3),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 29.3),Vay các bên liên quan(Thuyết minh số 29.3),417.000.000.000,417.000.000.000,-,(92.666.667.333),324.333.332.667,324.333.332.667,417000000000.0,417000000000.0,,-92666667333.0,324333332667.0,324333332667.0
Trái phiếu(Thuyết minh số 19.3),Vay dài hạn > Trái phiếu(Thuyết minh số 19.3),Trái phiếu(Thuyết minh số 19.3),208.355.707.845,208.355.707.845,1.550.818.181,(209.906.526.026),-,-,208355707845.0,208355707845.0,1550818181.0,-209906526026.0,,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,6.086.215.594.332,6.086.215.594.332,1.148.081.407.216,(2.074.118.033.466),5.160.178.968.082,5.160.178.968.082,6086215594332.0,6086215594332.0,1148081407216.0,-2074118033466.0,5160178968082.0,5160178968082.0
