row_label_raw,row_label_full,col_0,Công ty Agrita – Quảng Nam,Công ty Sông Tranh 4,Tổng cộng,numeric__Công ty Agrita – Quảng Nam,numeric__Công ty Sông Tranh 4,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,60.801.303.907,11.803.260.642,72.604.564.549,60801303907.0,11803260642.0,72604564549.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,60.801.303.907,11.803.260.642,72.604.564.549,60801303907.0,11803260642.0,72604564549.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,,,
Số đầu năm,Phân bổ lũy kế: > Số đầu năm,Số đầu năm,17.757.312.320,6.147.396.843,23.904.709.163,17757312320.0,6147396843.0,23904709163.0
- Phân bổ trong năm,Phân bổ lũy kế: > - Phân bổ trong năm,- Phân bổ trong năm,6.080.130.390,1.180.326.065,7.260.456.455,6080130390.0,1180326065.0,7260456455.0
Số cuối năm,Phân bổ lũy kế: > Số cuối năm,Số cuối năm,23.837.442.710,7.327.722.908,31.165.165.618,23837442710.0,7327722908.0,31165165618.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,43.043.991.587,5.655.863.799,48.699.855.386,43043991587.0,5655863799.0,48699855386.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,36.963.861.197,4.475.537.734,41.439.398.931,36963861197.0,4475537734.0,41439398931.0
