row_label_raw,row_label_full,Năm trước > Số đầu năm,Vốn cổ phần đã phát hành > Năm trước > 1.542.750.180.000,Thặng dư vốn cổ phần > Năm trước > 387.992.000,Chênh lệch tỷ giá hối đoái > Năm trước > (39.818.876.122),Quỹ đầu tư phát triển > Năm trước > 51.211.243.573,Vốn khác của chủ sở hữu > Năm trước > 161.570.844.814,Lợi nhuận sau thuế chưa phân phối > Năm trước > 1.300.731.894.659,Lợi ích của cổ đông không kiểm soát > Năm trước > 960.587.566.932,Đơn vị tính. VND Tổng cộng > Năm trước > 3.977.420.845.856,numeric__Vốn cổ phần đã phát hành > Năm trước > 1.542.750.180.000,numeric__Thặng dư vốn cổ phần > Năm trước > 387.992.000,numeric__Chênh lệch tỷ giá hối đoái > Năm trước > (39.818.876.122),numeric__Quỹ đầu tư phát triển > Năm trước > 51.211.243.573,numeric__Vốn khác của chủ sở hữu > Năm trước > 161.570.844.814,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 1.300.731.894.659,numeric__Lợi ích của cổ đông không kiểm soát > Năm trước > 960.587.566.932,numeric__Đơn vị tính. VND Tổng cộng > Năm trước > 3.977.420.845.856
- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,- Chia cổ tức bằng cổ phiếu,327.256.970.000,-,-,-,-,(327.256.970.000),-,-,327256970000.0,,,,,-327256970000.0,,
- Chia cổ tức bằng cổ phiếu tại các công ty con,- Chia cổ tức bằng cổ phiếu tại các công ty con,- Chia cổ tức bằng cổ phiếu tại các công ty con,-,-,-,-,74.953.210.000,(74.953.210.000),-,-,,,,,74953210000.0,-74953210000.0,,
- Tăng vốn trong công ty con hiện hữu,- Tăng vốn trong công ty con hiện hữu,- Tăng vốn trong công ty con hiện hữu,-,-,-,-,-,-,9.572.500.000,9.572.500.000,,,,,,,9572500000.0,9572500000.0
- Phát hành cổ phiếu để thực hiện chứng quyền,- Phát hành cổ phiếu để thực hiện chứng quyền,- Phát hành cổ phiếu để thực hiện chứng quyền,93.567.000.000,228.718.872.127,-,-,-,-,-,322.285.872.127,93567000000.0,228718872127.0,,,,,,322285872127.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,1.096.497.637.724,247.175.421.153,1.343.673.058.877,,,,,,1096497637724.0,247175421153.0,1343673058877.0
- Chênh lệch tỷ giá hối đoái do việc quy đổi các hoạt động ở nước ngoài,- Chênh lệch tỷ giá hối đoái do việc quy đổi các hoạt động ở nước ngoài,- Chênh lệch tỷ giá hối đoái do việc quy đổi các hoạt động ở nước ngoài,-,-,(34.345.777.230),-,-,-,-,(34.345.777.230),,,-34345777230.0,,,,,-34345777230.0
- Chia cổ tức bằng tiền tại các công ty con,- Chia cổ tức bằng tiền tại các công ty con,- Chia cổ tức bằng tiền tại các công ty con,-,-,-,-,-,-,(144.370.988.377),(144.370.988.377),,,,,,,-144370988377.0,-144370988377.0
- Ănh hưởng do tăng tỷ lệ lợi ích trong công ty con,- Ănh hưởng do tăng tỷ lệ lợi ích trong công ty con,- Ănh hưởng do tăng tỷ lệ lợi ích trong công ty con,-,-,-,-,-,(1.232.935.452),1.232.935.452,-,,,,,,-1232935452.0,1232935452.0,
- Tái cấu trúc tập đoàn,- Tái cấu trúc tập đoàn,- Tái cấu trúc tập đoàn,-,-,-,-,-,(309.506.966),309.506.966,-,,,,,,-309506966.0,309506966.0,
- Chuyển nhượng công ty con,- Chuyển nhượng công ty con,- Chuyển nhượng công ty con,-,-,-,-,(6.126.120.000),(39.117.418.519),(17.731.969.938),(62.975.508.457),,,,,-6126120000.0,-39117418519.0,-17731969938.0,-62975508457.0
- Thù lao HĐQT,- Thù lao HĐQT,- Thù lao HĐQT,-,-,-,-,-,(1.093.995.552),(128.264.394),(1.222.259.946),,,,,,-1093995552.0,-128264394.0,-1222259946.0
"- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(20.670.000.000),-,(20.670.000.000),,,,,,-20670000000.0,,-20670000000.0
- Điều chính thuế TNDN năm trước,- Điều chính thuế TNDN năm trước,- Điều chính thuế TNDN năm trước,-,-,-,-,-,962.659.860,-,962.659.860,,,,,,962659860.0,,962659860.0
Số cuối năm,Số cuối năm,Số cuối năm,1.963.574.150.000,229.106.864.127,(74.164.653.352),51.211.243.573,230.397.934.814,1.933.558.155.754,1.056.646.707.794,5.390.330.402.710,1963574150000.0,229106864127.0,-74164653352.0,51211243573.0,230397934814.0,1933558155754.0,1056646707794.0,5390330402710.0
