row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc thiết bị,thiết bị truyền dẫn",Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc thiết bị,thiết bị truyền dẫn",numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,802.114.037.059,181.593.837.910,983.707.874.969,802114037059.0,181593837910.0,983707874969.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,802.114.037.059,181.593.837.910,983.707.874.969,802114037059.0,181593837910.0,983707874969.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,7.357.573.685,-,7.357.573.685,7357573685.0,,7357573685.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,97.904.934.864,57.591.005.734,155.495.940.598,97904934864.0,57591005734.0,155495940598.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,21.935.721.602,13.322.943.984,35.258.665.586,21935721602.0,13322943984.0,35258665586.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,119.840.656.466,70.913.949.718,190.754.606.184,119840656466.0,70913949718.0,190754606184.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,704.209.102.195,124.002.832.176,828.211.934.371,704209102195.0,124002832176.0,828211934371.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,682.273.380.593,110.679.888.192,792.953.268.785,682273380593.0,110679888192.0,792953268785.0
