row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Trích trước chi phí xây dựng và tiền sử dụng đất của các dự án bất động sản đã bàn giao,Trích trước chi phí xây dựng và tiền sử dụng đất của các dự án bất động sản đã bàn giao,Trích trước chi phí xây dựng và tiền sử dụng đất của các dự án bất động sản đã bàn giao,703.085.607.062,509.363.283.261,703085607062.0,509363283261.0
- Dự án An Khánh – An Thượng,- Dự án An Khánh – An Thượng,- Dự án An Khánh – An Thượng,258.203.346.297,117.647.730.777,258203346297.0,117647730777.0
- Dự án Hà Đô Centrosa Garden,- Dự án Hà Đô Centrosa Garden,- Dự án Hà Đô Centrosa Garden,163.186.619.325,163.186.619.325,163186619325.0,163186619325.0
"- Dự án nhà ở Quận 12, thành phố Hồ Chí Minh","- Dự án nhà ở Quận 12, thành phố Hồ Chí Minh","- Dự án nhà ở Quận 12, thành phố Hồ Chí Minh",140.052.284.410,86.885.576.130,140052284410.0,86885576130.0
- Khu biệt thự Sư Vạn Hạnh,- Khu biệt thự Sư Vạn Hạnh,- Khu biệt thự Sư Vạn Hạnh,130.489.147.466,130.489.147.466,130489147466.0,130489147466.0
- Dự án chung cư CC1 Dịch Vọng,- Dự án chung cư CC1 Dịch Vọng,- Dự án chung cư CC1 Dịch Vọng,7.843.113.423,7.843.113.423,7843113423.0,7843113423.0
- Dự án nhà N10 khu đô thị mới Dịch Vọng,- Dự án nhà N10 khu đô thị mới Dịch Vọng,- Dự án nhà N10 khu đô thị mới Dịch Vọng,3.311.096.141,3.311.096.141,3311096141.0,3311096141.0
Trích trước chi phí xây dựng tài sản,Trích trước chi phí xây dựng tài sản,Trích trước chi phí xây dựng tài sản,79.027.468.177,310.707.510.622,79027468177.0,310707510622.0
Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,Trích trước chi phí lãi vay,43.813.105.261,94.415.589.062,43813105261.0,94415589062.0
Trích trước chi phí hỗ trợ lãi suất,Trích trước chi phí hỗ trợ lãi suất,Trích trước chi phí hỗ trợ lãi suất,812.920.548,18.144.181.518,812920548.0,18144181518.0
Các chi phí phải trả ngắn hạn khác,Các chi phí phải trả ngắn hạn khác,Các chi phí phải trả ngắn hạn khác,11.888.263.388,9.115.816.011,11888263388.0,9115816011.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,838.627.364.436,941.746.380.475,838627364436.0,941746380475.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Chi phí phải trả ngắn hạn các bên khác,Trong đó: > Chi phí phải trả ngắn hạn các bên khác,Chi phí phải trả ngắn hạn các bên khác,834.057.501.549,937.633.503.763,834057501549.0,937633503763.0
Chi phí phải trả ngắn hạn các bên liên quan (Thuyết minh số 29.2),Trong đó: > Chi phí phải trả ngắn hạn các bên liên quan (Thuyết minh số 29.2),Chi phí phải trả ngắn hạn các bên liên quan (Thuyết minh số 29.2),4.569.862.887,4.112.876.712,4569862887.0,4112876712.0
