row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Vàngđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Vàngđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,
"Tiền mặt, vàng bạc và đá quý","Tải sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",255.530,1.378.602,336.285,984.009,2.954.426,255530.0,1378602.0,336285.0,984009.0,2954426.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,1.860.316,-,172.248,2.032.564,,1860316.0,,172248.0,2032564.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tải sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,39.620,4.002.385,-,3.558.638,7.600.643,39620.0,4002385.0,,3558638.0,7600643.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,10.321.468,460.229,1.955.666,12.737.363,,10321468.0,460229.0,1955666.0,12737363.0
Hoạt động mua nợ,Tải sản > Hoạt động mua nợ,Hoạt động mua nợ,-,426.769,-,-,426.769,,426769.0,,,426769.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,579,-,-,579,,579.0,,,579.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,-,39.015,-,250.975,289.990,,39015.0,,250975.0,289990.0
Tài sản Có khác - gộp,Tải sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,2.107,2.210.771,28,81.118,2.294.024,2107.0,2210771.0,28.0,81118.0,2294024.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,297.257,20.239.905,796.542,7.002.654,28.336.358,297257.0,20239905.0,796542.0,7002654.0,28336358.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,8,2.453.691,-,18.959,2.472.658,8.0,2453691.0,,18959.0,2472658.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,230.244,13.041.439,41,1.934.819,15.206.543,230244.0,13041439.0,41.0,1934819.0,15206543.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,83.606,83.606,,,,83606.0,83606.0
Công cụ tài chính phải sinh và các nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các nợ tài chính khác,Công cụ tài chính phải sinh và các nợ tài chính khác,20.794,4.488.202,-,3.425.835,7.934.831,20794.0,4488202.0,,3425835.0,7934831.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,5,-,-,5,,5.0,,,5.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,25.623,418.700,-,63.801,508.124,25623.0,418700.0,,63801.0,508124.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,276.669,20.402.037,41,5.527.020,26.205.767,276669.0,20402037.0,41.0,5527020.0,26205767.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,20.588,(162.132),796.501,1.475.634,2.130.591,20588.0,-162132.0,796501.0,1475634.0,2130591.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(17.935),282.672,(323.468),(149.431),(208.162),-17935.0,282672.0,-323468.0,-149431.0,-208162.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",2.653,120.540,473.033,1.326.203,1.922.429,2653.0,120540.0,473033.0,1326203.0,1922429.0
