row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Vốn đầu tưXDCB vàmua sắmTSCĐTriệu đồng,Thăng dưvốn cổ phầnTriệu đồng,Cổ phiếuquỹTriệu đồng,Vốn khácTriệu đồng,Các quỹdự trữTriệu đồng,Chênh lệchtỷ giáhối đoáiTriệu đồng,Lợi nhuậnchưaphân phốiTriệu đồng,Tổng cộngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Vốn đầu tưXDCB vàmua sắmTSCĐTriệu đồng,numeric__Thăng dưvốn cổ phầnTriệu đồng,numeric__Cổ phiếuquỹTriệu đồng,numeric__Vốn khácTriệu đồng,numeric__Các quỹdự trữTriệu đồng,numeric__Chênh lệchtỷ giáhối đoáiTriệu đồng,numeric__Lợi nhuậnchưaphân phốiTriệu đồng,numeric__Tổng cộngTriệu đồng
Số đầu năm,Số đầu năm,Số đầu năm,18.852.157,1.121,63.612,(750.911),653,2.720.885,223.786(24.243),3.521.064,24.632.367,18852157.0,1121.0,63612.0,-750911.0,653.0,2720885.0,,3521064.0,24632367.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,-,-,-,-,-,2.454.864,2.430.621,,,,,,,,2454864.0,2430621.0
Trích lập các quỹ chonăm trước,Trích lập các quỹ chonăm trước,Trích lập các quỹ chonăm trước,-,-,-,-,-,243.016,-,(243.016),-,,,,,,243016.0,,-243016.0,
"Trích lập Quỹ khenthường, phúc lợi","Trích lập Quỹ khenthường, phúc lợi","Trích lập Quỹ khenthường, phúc lợi",-,-,-,-,-,-,-,(381.416),(381.416),,,,,,,,-381416.0,-381416.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,-,-,-,-,-,60.068,60.068,,,,,,,,60068.0,60068.0
Số cuối năm,Số cuối năm,Số cuối năm,18.852.157,1.121,63.612,(750.911),653,2.963.901,199.543,5.411.564,26.741.640,18852157.0,1121.0,63612.0,-750911.0,653.0,2963901.0,199543.0,5411564.0,26741640.0
