row_label_raw,row_label_full,"Cổ tức nhận được trong năm từ góp vốn,mua cổ phần",Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
- Từ chứng khoán vốn đầu tư,- Từ chứng khoán vốn đầu tư,- Từ chứng khoán vốn đầu tư,1.640,1.316,1640.0,1316.0
"- Từ góp vốn, đầu tư dài hạn","- Từ góp vốn, đầu tư dài hạn","- Từ góp vốn, đầu tư dài hạn",4.092,1.000,4092.0,1000.0
Lãi thanh lý các khoản đầu tư dài hạn khác,Lãi thanh lý các khoản đầu tư dài hạn khác,Lãi thanh lý các khoản đầu tư dài hạn khác,23.229,493,23229.0,493.0
,,,28.961,2.809,28961.0,2809.0
