row_label_raw,row_label_full,col_0,Trên 3thángTriệu đồng,Đến 3thángTriệu đồng,Đến 1thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,numeric__Trên 3thángTriệu đồng,numeric__Đến 3thángTriệu đồng,numeric__Đến 1thángTriệu đồng,numeric__Từ 1 đến 3thángTriệu đồng,numeric__Từ 3 đến 12thángTriệu đồng,numeric__Từ 1 đến 5nămTriệu đồng,numeric__Trên 5nămTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc và đá quý","Tài sản > Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,-,8.269.373,-,-,-,-,8.269.373,,,8269373.0,,,,,8269373.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,12.109.861,-,-,-,-,12.109.861,,,12109861.0,,,,,12109861.0
Tiền gửi tại và cho vay các TCTD khác - gộp,Tài sản > Tiền gửi tại và cho vay các TCTD khác - gộp,Tiền gửi tại và cho vay các TCTD khác - gộp,-,-,12.664.042,291.155,146.787,-,48.931,13.150.915,,,12664042.0,291155.0,146787.0,,48931.0,13150915.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,24.465,-,-,-,-,24.465,,,24465.0,,,,,24465.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,5.733.326,826.400,14.977.003,37.964.226,101.129.046,62.600.194,72.799.579,296.029.774,5733326.0,826400.0,14977003.0,37964226.0,101129046.0,62600194.0,72799579.0,296029774.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,-,-,426.769,-,426.769,,,,,,426769.0,,426769.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,43.963.580,525.860,1.300.000,4.876.388,29.871.380,80.537.208,,,43963580.0,525860.0,1300000.0,4876388.0,29871380.0,80537208.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,298.971,298.971,,,,,,,298971.0,298971.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,344,340,30.833,680.253,7.578.198,8.289.968,,,344.0,340.0,30833.0,680253.0,7578198.0,8289968.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,1.423.307,6.611,8.227.988,1.213.684,3.536.931,14.171.849,14.938.497,43.518.867,1423307.0,6611.0,8227988.0,1213684.0,3536931.0,14171849.0,14938497.0,43518867.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,7.156.633,833.011,100.236.656,39.995.265,106.143.597,82.755.453,125.535.556,462.656.171,7156633.0,833011.0,100236656.0,39995265.0,106143597.0,82755453.0,125535556.0,462656171.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,5.280,21.330,70.235,144.344,350,241.539,,,5280.0,21330.0,70235.0,144344.0,350.0,241539.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,1.025.453,659.026,1.340.858,494.890,5.333,3.525.560,,,1025453.0,659026.0,1340858.0,494890.0,5333.0,3525560.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,168.643.592,82.482.284,127.015.925,22.666.063,36.516,400.844.380,,,168643592.0,82482284.0,127015925.0,22666063.0,36516.0,400844380.0
"Vốn tài trợ, ủy thác đầu tư, cho vay chịurnửi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay chịurnửi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịurnửi ro",-,-,-,-,83.606,-,-,83.606,,,,,83606.0,,,83606.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,470,-,-,5.533.491,3.956.087,9.490.048,,,470.0,,,5533491.0,3956087.0,9490048.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,5.324.819,2.395.010,4.324.764,592.368,17.323,12.654.284,,,5324819.0,2395010.0,4324764.0,592368.0,17323.0,12654284.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,174.999.614,85.557.650,132.835.388,29.431.156,4.015.609,426.839.417,,,174999614.0,85557650.0,132835388.0,29431156.0,4015609.0,426839417.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,7.156.633,833.011,(74.762.958),(45.562.385),(26.691.791),53.324.297,121.519.947,35.816.754,7156633.0,833011.0,-74762958.0,-45562385.0,-26691791.0,53324297.0,121519947.0,35816754.0
