row_label_raw,row_label_full,col_0,Số cuối năm %/năm,Số đầu năm %/năm,numeric__Số cuối năm %/năm,numeric__Số đầu năm %/năm
Bằng VND,Bằng VND,Bằng VND,"5,74 - 6,30","3,80 - 5,97",,
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,"0,75 - 5,29","0,75 - 5,84",,
