row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,Tài sản tại ngày 31 tháng 12 năm 2019,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2019 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,5.660.247,7.490.668,13.150.915,5660247.0,7490668.0,13150915.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Tài sản tại ngày 31 tháng 12 năm 2019 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),22.106.829,-,22.106.829,22106829.0,,22106829.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2019 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,290.184.996,5.844.778,296.029.774,290184996.0,5844778.0,296029774.0
Hoạt động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2019 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,426.769,-,426.769,426769.0,,426769.0
Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2019 > Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,Chứng khoán kinh doanh và chứng khoánđầu tư - gộp,80.536.629,579,80.537.208,80536629.0,579.0,80537208.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2019 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",298.971,-,298.971,298971.0,,298971.0
Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019,,,
Các khoản nợ NHNN Việt Nam,Công nợ tại ngày 31 tháng 12 năm 2019 > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,241.539,-,241.539,241539.0,,241539.0
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2019 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,2.082.662,1.442.898,3.525.560,2082662.0,1442898.0,3525560.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2019 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,394.225.864,6.618.516,400.844.380,394225864.0,6618516.0,400844380.0
"Vốn tài trợ, ủy thác đầu tư, cho vay chịurủi ro","Công nợ tại ngày 31 tháng 12 năm 2019 > Vốn tài trợ, ủy thác đầu tư, cho vay chịurủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịurủi ro",-,83.606,83.606,,83606.0,83606.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2019 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,9.490.048,-,9.490.048,9490048.0,,9490048.0
Cam kết ngoại bảng tại ngày 31 tháng12 năm 2019,Công nợ tại ngày 31 tháng 12 năm 2019 > Cam kết ngoại bảng tại ngày 31 tháng12 năm 2019,Cam kết ngoại bảng tại ngày 31 tháng12 năm 2019,56.734.107,1.384.129,58.118.236,56734107.0,1384129.0,58118236.0
