row_label_raw,row_label_full,col_0,Kinh doanhTriệu đồng,Giữ đến ngàyđáo hạnTriệu đồng,Cho vay vàphải thuTriệu đồng,Sẵn sàngđể bánTriệu đồng,Tài sản và nợ kháchạch toán theogiá trị phân bổTriệu đồng,Tổng cộnggiá trị ghi sốTriệu đồng,Giá trị hợp lýTriệu đồng,numeric__Kinh doanhTriệu đồng,numeric__Giữ đến ngàyđáo hạnTriệu đồng,numeric__Cho vay vàphải thuTriệu đồng,numeric__Sẵn sàngđể bánTriệu đồng,numeric__Tài sản và nợ kháchạch toán theogiá trị phân bổTriệu đồng,numeric__Tổng cộnggiá trị ghi sốTriệu đồng,numeric__Giá trị hợp lýTriệu đồng
"Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý","Tiền mặt, vàng bạc và đá quý",-,-,-,-,8.269.373,8.269.373,8.269.373,,,,,8269373.0,8269373.0,8269373.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,-,-,12.109.861,12.109.861,12.109.861,,,,,12109861.0,12109861.0,12109861.0
Tiền gửi tại và cho vay các TCTDkhác,Tiền gửi tại và cho vay các TCTDkhác,Tiền gửi tại và cho vay các TCTDkhác,-,-,434.109,-,12.716.806,13.150.915,(*),,,434109.0,,12716806.0,13150915.0,
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,24.465,-,-,-,-,24.465,(*),24465.0,,,,,24465.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,-,-,292.058.715,-,-,292.058.715,(*),,,292058715.0,,,292058715.0,
Hoạt động mua nợ,Hoạt động mua nợ,Hoạt động mua nợ,-,-,423.453,-,-,423.453,(*),,,423453.0,,,423453.0,
Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,Chứng khoán sẵn sàng để bán,-,-,-,46.786.631,-,46.786.631,(*),,,,46786631.0,,46786631.0,
Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,Chứng khoán giữ đến ngày đáo hạn,-,29.710.866,-,-,-,29.710.866,(*),,29710866.0,,,,29710866.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,103.854,-,103.854,(*),,,,103854.0,,103854.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,-,34.633.044,34.633.044,,,,,,34633044.0,34633044.0,
,,,24.465,29.710.866,292.916.277,46.890.485,67.729.084,437.271.177,,24465.0,29710866.0,292916277.0,46890485.0,67729084.0,437271177.0,
Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,-,-,241.539,241.539,(*),,,,,241539.0,241539.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,3.525.560,3.525.560,(*),,,,,3525560.0,3525560.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,400.844.380,400.844.380,(*),,,,,400844380.0,400844380.0,
"Vốn tài trợ, ủy thác đầu tư cho vaychịu rủi ro","Vốn tài trợ, ủy thác đầu tư cho vaychịu rủi ro","Vốn tài trợ, ủy thác đầu tư cho vaychịu rủi ro",-,-,-,-,83.606,83.606,,,,,,83606.0,83606.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,9.490.048,9.490.048,(*),,,,,9490048.0,9490048.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,11.333.100,11.333.100,(*),,,,,11333100.0,11333100.0,
,,,-,-,-,-,425.518.233,425.518.233,,,,,,425518233.0,425518233.0,
