row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay Triệu đồng,Năm trước Triệu đồng,numeric__Thuyết minh,numeric__Năm nay Triệu đồng,numeric__Năm trước Triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,25,30.476.971,26.295.571,25.0,30476971.0,26295571.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,26,(21.296.283),(18.661.777),26.0,-21296283.0,-18661777.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,9.180.688,7.633.794,,9180688.0,7633794.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,4.803.443,3.772.038,,4803443.0,3772038.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(1.480.453),(1.089.894),,-1480453.0,-1089894.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,27,3.322.990,2.682.144,27.0,3322990.0,2682144.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,28,608.748,401.278,28.0,608748.0,401278.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,,-,3.304,,,3304.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,29,72.764,21.223,29.0,72764.0,21223.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,1.485.474,951.030,,1485474.0,951030.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(64.287),(18.647),,-64287.0,-18647.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,30,1.421.187,932.383,30.0,1421187.0,932383.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",31,28.961,2.809,31.0,28961.0,2809.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,14.635.338,11.676.935,,14635338.0,11676935.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,,(5.465.357),(4.832.476),,-5465357.0,-4832476.0
Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,,(544.864),(458.917),,-544864.0,-458917.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(3.255.482),(2.546.437),,-3255482.0,-2546437.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,32,(9.265.703),(7.837.830),32.0,-9265703.0,-7837830.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,5.369.635,3.839.105,,5369635.0,3839105.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,11,(2.152.889),(1.592.114),11.0,-2152889.0,-1592114.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,3.216.746,2.246.991,,3216746.0,2246991.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,22.1,(791.542),(445.711),221.0,-791542.0,-445711.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,22.2,29.660,(11.124),222.0,29660.0,-11124.0
Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,,(761.882),(456.835),,-761882.0,-456835.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,2.454.864,1.790.156,,2454864.0,1790156.0
Lãi cơ bản trên cổ phiếu (đồng/cổ phiếu),Lãi cơ bản trên cổ phiếu (đồng/cổ phiếu),Lãi cơ bản trên cổ phiếu (đồng/cổ phiếu),24,1.119,781,24.0,1119.0,781.0
