row_label_raw,row_label_full,col_0,Quyền sử dụng đất Triệu đồng,Phần mềm máy vi tính Triệu đồng,TSCĐ vô hình khác Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất Triệu đồng,numeric__Phần mềm máy vi tính Triệu đồng,numeric__TSCĐ vô hình khác Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.613.144,959.957,484,4.573.585,3613144.0,959957.0,484.0,4573585.0
Tăng do nâng cấp,Nguyên giá > Tăng do nâng cấp,Tăng do nâng cấp,39.919,221,120,40.260,39919.0,221.0,120.0,40260.0
Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,4.221,271.148,-,275.369,4221.0,271148.0,,275369.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(209.256),(107),-,(209.363),-209256.0,-107.0,,-209363.0
Chênh lệch quy đổi tỷ giá,Nguyên giá > Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,(1.504),(637),-,(2.141),-1504.0,-637.0,,-2141.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.446.524,1.230.582,604,4.677.710,3446524.0,1230582.0,604.0,4677710.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,198.065,743.114,484,941.663,198065.0,743114.0,484.0,941663.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,29.205,118.261,20,147.486,29205.0,118261.0,20.0,147486.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(3.390),(107),-,(3.497),-3390.0,-107.0,,-3497.0
Chênh lệch quy đổi tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tỷ giá,Chênh lệch quy đổi tỷ giá,-,(523),-,(523),,-523.0,,-523.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,223.880,860.745,504,1.085.129,223880.0,860745.0,504.0,1085129.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.415.079,216.843,-,3.631.922,3415079.0,216843.0,,3631922.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,3.222.644,369.837,100,3.592.581,3222644.0,369837.0,100.0,3592581.0
