row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Lãi phải trả tiền gửi tiết kiệm bằng VND,Lãi phải trả tiền gửi tiết kiệm bằng VND,Lãi phải trả tiền gửi tiết kiệm bằng VND,5.912.249,5.009.584,5912249.0,5009584.0
Lãi phải trả tiền gửi của khách hàng bằng VND,Lãi phải trả tiền gửi của khách hàng bằng VND,Lãi phải trả tiền gửi của khách hàng bằng VND,526.996,394.935,526996.0,394935.0
Lãi phải trả cho các giấy tờ có giá bằng VND,Lãi phải trả cho các giấy tờ có giá bằng VND,Lãi phải trả cho các giấy tờ có giá bằng VND,520.246,427.072,520246.0,427072.0
Lãi phải trả tiền gửi của KH bằng ngoại tệ,Lãi phải trả tiền gửi của KH bằng ngoại tệ,Lãi phải trả tiền gửi của KH bằng ngoại tệ,92.973,67.956,92973.0,67956.0
Lãi phải trả từ giao dịch phải sinh tiền tệ,Lãi phải trả từ giao dịch phải sinh tiền tệ,Lãi phải trả từ giao dịch phải sinh tiền tệ,39.930,18.445,39930.0,18445.0
Lãi phải trả tiền vay bằng ngoại tệ,Lãi phải trả tiền vay bằng ngoại tệ,Lãi phải trả tiền vay bằng ngoại tệ,9.632,17.115,9632.0,17115.0
Lãi phải trả tiền vay bằng VND,Lãi phải trả tiền vay bằng VND,Lãi phải trả tiền vay bằng VND,1.320,7.370,1320.0,7370.0
Lãi phải trả tiền gửi của các TCTD bằng ngoại tệ,Lãi phải trả tiền gửi của các TCTD bằng ngoại tệ,Lãi phải trả tiền gửi của các TCTD bằng ngoại tệ,873,3.285,873.0,3285.0
"Lãi phải trả cho vốn tài trợ, ủy thác đầu tư, cho vay bằng ngoại tệ","Lãi phải trả cho vốn tài trợ, ủy thác đầu tư, cho vay bằng ngoại tệ","Lãi phải trả cho vốn tài trợ, ủy thác đầu tư, cho vay bằng ngoại tệ",714,735,714.0,735.0
Lãi phải trả tiền gửi tiết kiệm bằng ngoại tệ,Lãi phải trả tiền gửi tiết kiệm bằng ngoại tệ,Lãi phải trả tiền gửi tiết kiệm bằng ngoại tệ,490,210,490.0,210.0
Lãi phải trả tiền gửi của các TCTD bằng VND,Lãi phải trả tiền gửi của các TCTD bằng VND,Lãi phải trả tiền gửi của các TCTD bằng VND,-,258,,258.0
,,,7.105.423,5.946.965,7105423.0,5946965.0
