row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày cuối năm) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày cuối năm) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày cuối năm) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày cuối năm) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2019
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,1.321.691,129,-,1321691.0,129.0,
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,20.785.138,24.336,-,20785138.0,24336.0,
,,,22.106.829,24.465,-,22106829.0,24465.0,
Số thuần,Số thuần,Số thuần,,24.465,,,24465.0,
Giao dịch quyền chọn,Giao dịch quyền chọn,Giao dịch quyền chọn,,,,,,
Bán quyền chọn tiền tệ,Giao dịch quyền chọn > Bán quyền chọn tiền tệ,Bán quyền chọn tiền tệ,10.641,-,79,10641.0,,79.0
Số thuần,Giao dịch quyền chọn > Số thuần,Số thuần,,,79,,,79.0
