row_label_raw,row_label_full,col_0,Số cuối năm %/năm,Số đầu năm %/năm,numeric__Số cuối năm %/năm,numeric__Số đầu năm %/năm
Bằng VND,Bằng VND,Bằng VND,"2,40 - 4,00","4,90 - 5,50",,
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,"3,20 - 6,50","2,00 - 6,50",,
