row_label_raw,row_label_full,col_0,Vốn góp/Vốn điều lệ,Thặng dư vốn cổ phần,Vốn chủ sở hữu khác,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn góp/Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn chủ sở hữu khác,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,4.449.635.670.000,98.600.000,13.470.351,227.358.304.531,49.496.167.149,1.651.215.068.023,6.377.817.280.054,4449635670000.0,98600000.0,13470351.0,227358304531.0,49496167149.0,1651215068023.0,6377817280054.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,949.964.760.000,-,-,65.388.962.408,32.694.481.204,890.627.829.662,1.938.676.033.274,949964760000.0,,,65388962408.0,32694481204.0,890627829662.0,1938676033274.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),949.964.760.000,-,-,-,-,-,949.964.760.000,949964760000.0,,,,,,949964760000.0
Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,Lợi nhuận tăng trong năm,-,-,-,-,-,890.627.829.662,890.627.829.662,,,,,,890627829662.0,890627829662.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),-,-,-,65.388.962.408,32.694.481.204,-,98.083.443.612,,,,65388962408.0,32694481204.0,,98083443612.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,-,-,(1.054.587.099.853),(1.054.587.099.853),,,,,,-1054587099853.0,-1054587099853.0
Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),Trích bổ sung các quỹ từ lợi nhuận năm trước (ii),-,-,-,-,-,(104.622.339.853),(104.622.339.853),,,,,,-104622339853.0,-104622339853.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),-,-,-,-,-,(949.964.760.000),(949.964.760.000),,,,,,-949964760000.0,-949964760000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,5.399.600.430.000,98.600.000,13.470.351,292.747.266.939,82.190.648.353,1.487.255.797.832,7.261.906.213.475,5399600430000.0,98600000.0,13470351.0,292747266939.0,82190648353.0,1487255797832.0,7261906213475.0
