row_label_raw,row_label_full,col_0,EURđược quyđổi,USDđược quyđổi,Các ngoại hốikhác đượcquy đổi vàđồng ViệtNam,Tổng,numeric__EURđược quyđổi,numeric__USDđược quyđổi,numeric__Các ngoại hốikhác đượcquy đổi vàđồng ViệtNam,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
"I. Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",523,51.092,396.188,447.803,523.0,51092.0,396188.0,447803.0
II. Tiền gửi tại NHNN,TÀI SẢN > II. Tiền gửi tại NHNN,II. Tiền gửi tại NHNN,-,3.933,1.370.308,1.374.241,,3933.0,1370308.0,1374241.0
III. Tiền gửi và cho vay các TCTD khác (*),TÀI SẢN > III. Tiền gửi và cho vay các TCTD khác (*),III. Tiền gửi và cho vay các TCTD khác (*),4.574,85.609,21.198.131,21.288.314,4574.0,85609.0,21198131.0,21288314.0
V. Các công cụ tài chính phải sinh và cáctài sản tài chính khác,TÀI SẢN > V. Các công cụ tài chính phải sinh và cáctài sản tài chính khác,V. Các công cụ tài chính phải sinh và cáctài sản tài chính khác,-,9.615,-,9.615,,9615.0,,9615.0
VI. Cho vay khách hàng (*),TÀI SẢN > VI. Cho vay khách hàng (*),VI. Cho vay khách hàng (*),-,7.507,62.500.612,62.508.119,,7507.0,62500612.0,62508119.0
VIII. Chứng khoán đầu tư (*),TÀI SẢN > VIII. Chứng khoán đầu tư (*),VIII. Chứng khoán đầu tư (*),-,-,9.001.108,9.001.108,,,9001108.0,9001108.0
"IX. Góp vốn, đầu tư dài hạn (*)","TÀI SẢN > IX. Góp vốn, đầu tư dài hạn (*)","IX. Góp vốn, đầu tư dài hạn (*)",-,-,134.974,134.974,,,134974.0,134974.0
X. Tài sản cố định,TÀI SẢN > X. Tài sản cố định,X. Tài sản cố định,-,-,204.658,204.658,,,204658.0,204658.0
XI. Tài sản cố khác (*),TÀI SẢN > XI. Tài sản cố khác (*),XI. Tài sản cố khác (*),-,529.042,10.710.187,11.239.229,,529042.0,10710187.0,11239229.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,5.097,686.798,105.516.166,106.208.060,5097.0,686798.0,105516166.0,106208060.0
NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,
I. Các khoản nợ chính phủ và NHNN,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > I. Các khoản nợ chính phủ và NHNN,I. Các khoản nợ chính phủ và NHNN,-,-,3.621.234,3.621.234,,,3621234.0,3621234.0
II. Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > II. Tiền gửi và vay các TCTD khác,II. Tiền gửi và vay các TCTD khác,-,510.073,21.131.438,21.641.511,,510073.0,21131438.0,21641511.0
III. Tiền gửi của khách hàng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > III. Tiền gửi của khách hàng,III. Tiền gửi của khách hàng,115,189.785,70.018.659,70.208.558,115.0,189785.0,70018659.0,70208558.0
VI. Phát hành giấy tờ có giá,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VI. Phát hành giấy tờ có giá,VI. Phát hành giấy tờ có giá,-,-,150.000,150.000,,,150000.0,150000.0
VII. Các khoản nợ khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VII. Các khoản nợ khác,VII. Các khoản nợ khác,-,6.824,2.257.522,2.264.346,,6824.0,2257522.0,2264346.0
VIII. Vốn và các quỹ,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VIII. Vốn và các quỹ,VIII. Vốn và các quỹ,-,-,7.261.906,7.261.906,,,7261906.0,7261906.0
Tổng nợ phải trả và vốn chủ sở hữu,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,115,706.682,104.440.759,105.147.556,115.0,706682.0,104440759.0,105147556.0
Trạng thái tiền tệ nội bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,4.982,(19.884),1.075.407,1.060.504,4982.0,-19884.0,1075407.0,1060504.0
Trạng thái tiền tệ nội ngoại bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội ngoại bảng,Trạng thái tiền tệ nội ngoại bảng,4.982,(19.884),1.075.407,1.060.504,4982.0,-19884.0,1075407.0,1060504.0
