row_label_raw,row_label_full,col_0,Quá hạn,Không chịu lãi,Thay đổi lãi suất trong khoảng thời gian,Thay đổi lãi suất trong khoảng thời gian_1,Thay đổi lãi suất trong khoảng thời gian_2,Thay đổi lãi suất trong khoảng thời gian_3,Thay đổi lãi suất trong khoảng thời gian_4,Thay đổi lãi suất trong khoảng thời gian_5,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Thay đổi lãi suất trong khoảng thời gian,numeric__Thay đổi lãi suất trong khoảng thời gian_1,numeric__Thay đổi lãi suất trong khoảng thời gian_2,numeric__Thay đổi lãi suất trong khoảng thời gian_3,numeric__Thay đổi lãi suất trong khoảng thời gian_4,numeric__Thay đổi lãi suất trong khoảng thời gian_5,numeric__Tổng
,,,Quá hạn,Không chịu lãi,Dưới 01 tháng,Từ 01 đến 03 tháng,Từ trên 03 đến 06 tháng,Từ trên 06 đến 12 tháng,Từ trên 01 đến 05 năm,Trên 05 năm,Tổng,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,
I Các khoản nợ chính phủ và NHNN,NỘ PHẢI TRẢ > I Các khoản nợ chính phủ và NHNN,I Các khoản nợ chính phủ và NHNN,-,-,2.308.284,1.312.950,-,-,-,-,3.621.234,,,2308284.0,1312950.0,,,,,3621234.0
I Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > I Tiền gửi và vay các TCTD khác,I Tiền gửi và vay các TCTD khác,-,-,20.192.198,1.131.387,317.224,-,605,97,21.641.511,,,20192198.0,1131387.0,317224.0,,605.0,97.0,21641511.0
II Tiền gửi của khách hàng,NỘ PHẢI TRẢ > II Tiền gửi của khách hàng,II Tiền gửi của khách hàng,-,-,11.795.689,12.824.007,26.580.587,15.741.196,3.267.080,-,70.208.559,,,11795689.0,12824007.0,26580587.0,15741196.0,3267080.0,,70208559.0
III Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,III Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,III Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,-,-,-,-,-,-,-,,,,,,,,,
"IV Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","IV Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","IV Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,-,-,-,-,,,,,,,,,
V Phát hành giấy tờ có giá,"IV Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > V Phát hành giấy tờ có giá",V Phát hành giấy tờ có giá,-,-,100.000,50.000,-,-,-,-,150.000,,,100000.0,50000.0,,,,,150000.0
VI Các khoản nợ khác,"IV Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > VI Các khoản nợ khác",VI Các khoản nợ khác,-,2.264.347,-,-,-,-,-,-,2.264.347,,2264347.0,,,,,,,2264347.0
Tổng nợ phải trả,"IV Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > Tổng nợ phải trả",Tổng nợ phải trả,-,2.264.347,34.396.171,15.318.344,26.897.811,15.741.196,3.267.685,97,97.885.651,,2264347.0,34396171.0,15318344.0,26897811.0,15741196.0,3267685.0,97.0,97885651.0
Mức chênh nhạy cảm với lãi suất nội bảng,"IV Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro > Mức chênh nhạy cảm với lãi suất nội bảng",Mức chênh nhạy cảm với lãi suất nội bảng,2.085.073,10.115.054,(3.978.273),(2.474.761),10.319.731,(11.334.458),(3.008.880),6.598.924,8.322.410,2085073.0,10115054.0,-3978273.0,-2474761.0,10319731.0,-11334458.0,-3008880.0,6598924.0,8322410.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ,-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bằng","Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ > Mức chênh nhạy cảm với lãi suất nội, ngoại bằng","Mức chênh nhạy cảm với lãi suất nội, ngoại bằng",2.085.073,10.115.054,(3.978.273),(2.474.761),10.319.731,(11.334.458),(3.008.880),6.598.924,8.322.410,2085073.0,10115054.0,-3978273.0,-2474761.0,10319731.0,-11334458.0,-3008880.0,6598924.0,8322410.0
