row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợ,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực),numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sản,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợ
,,,VND,VND,VND,,,
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,2.159.918.391.845,9.615.227.826,-,2159918391845.0,9615227826.0,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,2.159.918.391.845,9.615.227.826,-,2159918391845.0,9615227826.0,
- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,885.185.701.845,1.144.537.826,-,885185701845.0,1144537826.0,
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,1.274.732.690.000,8.470.690.000,-,1274732690000.0,8470690000.0,
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,1.060.883.717.004,4.004.260.508,-,1060883717004.0,4004260508.0,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,1.060.883.717.004,4.004.260.508,-,1060883717004.0,4004260508.0,
- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,- Giao dịch kỳ hạn tiền tệ,145.545.717.004,862.260.508,-,145545717004.0,862260508.0,
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,915.338.000.000,3.142.000.000,-,915338000000.0,3142000000.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,
,,,,31/12/2022,31/12/2021,,,
,,,,VND,VND,,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",62.508.119.103.848,54.458.731.509.641,,62508119103848.0,54458731509641.0
,,,,62.508.119.103.848,54.458.731.509.641,,62508119103848.0,54458731509641.0
Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,,,
,,,,31/12/2022,31/12/2021,,,
,,,,VND,VND,,,
Nợ đủ tiêu chuẩn,Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,60.413.807.547.423,52.632.213.397.028,,60413807547423.0,52632213397028.0
Nợ cần chú ý,Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,Nợ cần chú ý,1.136.956.065.337,798.561.426.687,,1136956065337.0,798561426687.0
Nợ dưới tiêu chuẩn,Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,14.356.843.340,111.288.950.332,,14356843340.0,111288950332.0
Nợ nghi ngờ,Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,Nợ nghi ngờ,30.320.191.103,5.767.026.617,,30320191103.0,5767026617.0
Nợ có khả năng mất vốn,Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,912.678.456.645,910.900.708.977,,912678456645.0,910900708977.0
,,,,62.508.119.103.848,54.458.731.509.641,,62508119103848.0,54458731509641.0
Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,Phân tích dư nợ theo thời gian,,,
,,,,31/12/2022,31/12/2021,,,
,,,,VND,VND,,,
Nợ ngắn hạn,Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,Nợ ngắn hạn,34.133.216.432.808,27.913.102.989.137,,34133216432808.0,27913102989137.0
Nợ trung hạn,Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,Nợ trung hạn,17.912.865.140.449,17.732.510.613.589,,17912865140449.0,17732510613589.0
Nợ dài hạn,Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,Nợ dài hạn,10.462.037.530.591,8.813.117.906.915,,10462037530591.0,8813117906915.0
,,,,62.508.119.103.848,54.458.731.509.641,,62508119103848.0,54458731509641.0
