row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2022 > VND,31/12/2021 > VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2022 > VND,numeric__31/12/2021 > VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",5,447.803.057.693,398.641.826.345,,5.0,447803057693.0,398641826345.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,6,1.374.241.514.119,2.341.302.448.289,,6.0,1374241514119.0,2341302448289.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,7,21.288.313.094.530,22.855.032.502.539,,7.0,21288313094530.0,22855032502539.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,21.288.313.094.530,22.730.032.502.539,,,21288313094530.0,22730032502539.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,-,125.000.000.000,,,,125000000000.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,9.615.227.826,4.004.260.508,,8.0,9615227826.0,4004260508.0
VI,A > VI,VI,Cho vay khách hàng,,61.824.957.481.409,53.853.929.621.847,,,61824957481409.0,53853929621847.0
1,A > 1,1,Cho vay khách hàng,9,62.508.119.103.848,54.458.731.509.641,,9.0,62508119103848.0,54458731509641.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(683.161.622.439),(604.801.887.794),,10.0,-683161622439.0,-604801887794.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,8.984.409.674.673,8.772.591.023.100,,11.0,8984409674673.0,8772591023100.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,8.211.557.247.166,6.825.684.983.579,,,8211557247166.0,6825684983579.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,789.550.640.503,1.961.588.983.059,,,789550640503.0,1961588983059.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(16.698.212.996),(14.682.943.538),,,-16698212996.0,-14682943538.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",12,134.973.630.000,113.873.630.000,,12.0,134973630000.0,113873630000.0
4,A > 4,4,Đầu tư dài hạn khác,,134.973.630.000,113.873.630.000,,,134973630000.0,113873630000.0
X,A > X,X,Tài sản cố định,,204.658.281.552,212.453.371.543,,,204658281552.0,212453371543.0
1.,A > 1.,1.,Tài sản cố định hữu hình,13,72.511.644.976,82.067.137.498,,13.0,72511644976.0,82067137498.0
a,A > a,a,Nguyên giá TSCĐ,,294.450.310.903,303.094.286.968,,,294450310903.0,303094286968.0
b,A > b,b,Hao mòn TSCĐ,,(221.938.665.927),(221.027.149.470),,,-221938665927.0,-221027149470.0
3.,A > 3.,3.,Tài sản cố định vô hình,14,132.146.636.576,130.386.234.045,,14.0,132146636576.0,130386234045.0
a,A > a,a,Nguyên giá TSCĐ,,254.384.573.904,240.130.987.753,,,254384573904.0,240130987753.0
b,A > b,b,Hao mòn TSCĐ,,(122.237.937.328),(109.744.753.708),,,-122237937328.0,-109744753708.0
XII,A > XII,XII,Tài sản Có khác,15,10.878.584.347.789,12.481.440.089.519,,15.0,10878584347789.0,12481440089519.0
1,A > 1,1,Các khoản phải thu,,3.760.336.054.521,7.489.128.613.194,,,3760336054521.0,7489128613194.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,5.874.532.898.048,3.539.253.333.560,,,5874532898048.0,3539253333560.0
4,A > 4,4,Tài sản Có khác,,1.604.359.717.462,1.779.737.197.726,,,1604359717462.0,1779737197726.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,,(360.644.322.242),(326.679.054.961),,,-360644322242.0,-326679054961.0
,,,TỔNG TÀI SẢN CÓ,,105.147.556.309.591,101.033.268.773.690,,,105147556309591.0,101033268773690.0
