row_label_raw,row_label_full,Khu vực,Cho vay khách hàng và cho vay TCTD khác,Tiền gửi và tiền vay từ khách hàng và các TCTD,Các cam kết tín dụng,CCTC phái sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chúng khoán,numeric__Cho vay khách hàng và cho vay TCTD khác,numeric__Tiền gửi và tiền vay từ khách hàng và các TCTD,numeric__Các cam kết tín dụng,numeric__CCTC phái sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chúng khoán
Khu vực,Khu vực,Khu vực,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Khu vực > Trong nước,Trong nước,62.508.119,91.850.069,516.737,2.159.918,9.001.108,62508119.0,91850069.0,516737.0,2159918.0,9001108.0
Trong nước,Khu vực > Trong nước,Trong nước,62.508.119,91.850.069,516.737,2.159.918,9.001.108,62508119.0,91850069.0,516737.0,2159918.0,9001108.0
