row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Tài sản cố định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Tài sản cố định khác,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,97.104.899.405,118.999.353.240,76.109.328.365,10.880.705.958,303.094.286.968,97104899405.0,118999353240.0,76109328365.0,10880705958.0,303094286968.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,-,4.902.372.537,2.504.580.790,45.079.100,7.452.032.427,,4902372537.0,2504580790.0,45079100.0,7452032427.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(14.601.075.766),(1.309.950.908),(184.981.818),(16.096.008.492),,-14601075766.0,-1309950908.0,-184981818.0,-16096008492.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,97.104.899.405,109.300.650.011,77.303.958.247,10.740.803.240,294.450.310.903,97104899405.0,109300650011.0,77303958247.0,10740803240.0,294450310903.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,43.920.131.829,105.342.970.440,66.847.948.571,4.916.098.630,221.027.149.470,43920131829.0,105342970440.0,66847948571.0,4916098630.0,221027149470.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,5.249.427.695,5.493.196.120,4.135.054.120,2.115.562.567,16.993.240.502,5249427695.0,5493196120.0,4135054120.0,2115562567.0,16993240502.0
"- Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(14.586.791.319),(1.309.950.908),(184.981.818),(16.081.724.045),,-14586791319.0,-1309950908.0,-184981818.0,-16081724045.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,49.169.559.524,96.249.375.241,69.673.051.783,6.846.679.379,221.938.665.927,49169559524.0,96249375241.0,69673051783.0,6846679379.0,221938665927.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,53.184.767.576,13.656.382.800,9.261.379.794,5.964.607.328,82.067.137.498,53184767576.0,13656382800.0,9261379794.0,5964607328.0,82067137498.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,47.935.339.881,13.051.274.770,7.630.906.464,3.894.123.861,72.511.644.976,47935339881.0,13051274770.0,7630906464.0,3894123861.0,72511644976.0
