row_label_raw,row_label_full,Bà Nguyễn Kim Phượng,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
Bà Nguyễn Thị Hoan,Bà Nguyễn Thị Hoan,Bà Nguyễn Thị Hoan,Thành viên,
Ông Hoàng Vũ Tùng,Ông Hoàng Vũ Tùng,Ông Hoàng Vũ Tùng,Thành viên,
