row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản cố định vô hình khác,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,112.001.521.341,114.494.631.149,13.634.835.263,240.130.987.753,112001521341.0,114494631149.0,13634835263.0,240130987753.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,14.128.786.151,124.800.000,14.253.586.151,,14128786151.0,124800000.0,14253586151.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,112.001.521.341,128.623.417.300,13.759.635.263,254.384.573.904,112001521341.0,128623417300.0,13759635263.0,254384573904.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,100.118.451.503,9.626.302.205,109.744.753.708,,100118451503.0,9626302205.0,109744753708.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,-,9.401.985.423,3.091.198.197,12.493.183.620,,9401985423.0,3091198197.0,12493183620.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,109.520.436.926,12.717.500.402,122.237.937.328,,109520436926.0,12717500402.0,122237937328.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,112.001.521.341,14.376.179.646,4.008.533.058,130.386.234.045,112001521341.0,14376179646.0,4008533058.0,130386234045.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,112.001.521.341,19.102.980.374,1.042.134.861,132.146.636.576,112001521341.0,19102980374.0,1042134861.0,132146636576.0
