row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,26,17.062.167.162.186,22.049.505.640.192,1.0,26.0,17062167162186.0,22049505640192.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,-,-,2.0,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,17.062.167.162.186,22.049.505.640.192,10.0,,17062167162186.0,22049505640192.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,27,15.867.982.327.580,18.877.399.683.160,11.0,27.0,15867982327580.0,18877399683160.0
5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận góp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.194.184.834.606,3.172.105.957.032,20.0,,1194184834606.0,3172105957032.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,29,1.043.499.464.821,769.563.441.847,21.0,29.0,1043499464821.0,769563441847.0
7. Chỉ phí tài chính,7. Chỉ phí tài chính,7. Chỉ phí tài chính,22,30,348.137.368.887,576.916.684.229,22.0,30.0,348137368887.0,576916684229.0
- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,- Trong đó: Chỉ phí lãi vay,23,,286.633.067.609,523.640.150.940,23.0,,286633067609.0,523640150940.0
8. Chỉ phí quản lý doanh nghiệp,8. Chỉ phí quản lý doanh nghiệp,8. Chỉ phí quản lý doanh nghiệp,26,31,(55.417.871.585),945.588.791.030,26.0,31.0,-55417871585.0,945588791030.0
9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),9. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-26),30,,1.944.964.802.125,2.419.163.923.620,30.0,,1944964802125.0,2419163923620.0
10. Thu nhập khác,10. Thu nhập khác,10. Thu nhập khác,31,,8.098.770.424,10.834.574.182,31.0,,8098770424.0,10834574182.0
11. Chỉ phí khác,11. Chỉ phí khác,11. Chỉ phí khác,32,32,136.852.195.912,5.023.557.606,32.0,32.0,136852195912.0,5023557606.0
12. (Lỗ)/ lợi nhuận khác (40=31-32),12. (Lỗ)/ lợi nhuận khác (40=31-32),12. (Lỗ)/ lợi nhuận khác (40=31-32),40,,(128.753.425.488),5.811.016.576,40.0,,-128753425488.0,5811016576.0
13. Tổng lợi nhuận kế toán trước thuế (50=30+40),13. Tổng lợi nhuận kế toán trước thuế (50=30+40),13. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.816.211.376.637,2.424.974.940.196,50.0,,1816211376637.0,2424974940196.0
14. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,14. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,14. Chỉ phí thuế thu nhập doanh nghiệp hiện hành,51,33,100.012.937.574,297.187.494.067,51.0,33.0,100012937574.0,297187494067.0
15. Chỉ phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,15. Chỉ phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,15. Chỉ phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,33,131.728.147.436,(131.728.147.436),52.0,33.0,131728147436.0,-131728147436.0
16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),16. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.584.470.291.627,2.259.515.593.565,60.0,,1584470291627.0,2259515593565.0
