row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,585.447.884.141,585.447.884.141,661.710.706.188,661.710.706.188,585447884141.0,585447884141.0,661710706188.0,661710706188.0
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,79.072.318.889,79.072.318.889,36.034.408.210,36.034.408.210,79072318889.0,79072318889.0,36034408210.0,36034408210.0
Tổng Công ty bảo hiểm PVI,Tổng Công ty bảo hiểm PVI,Tổng Công ty bảo hiểm PVI,64.348.950.882,64.348.950.882,58.683.485.296,58.683.485.296,64348950882.0,64348950882.0,58683485296.0,58683485296.0
Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,50.608.197.817,50.608.197.817,175.447.547.709,175.447.547.709,50608197817.0,50608197817.0,175447547709.0,175447547709.0
Công ty Cố phần Khoáng sản Đan Ka,Công ty Cố phần Khoáng sản Đan Ka,Công ty Cố phần Khoáng sản Đan Ka,-,-,170.495.868.468,170.495.868.468,,,170495868468.0,170495868468.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,391.418.416.553,391.418.416.553,221.049.396.505,221.049.396.505,391418416553.0,391418416553.0,221049396505.0,221049396505.0
b. Phải trả người bán là các bên liên quan (Chỉ tiết tại Thuyết minh số 36),b. Phải trả người bán là các bên liên quan (Chỉ tiết tại Thuyết minh số 36),b. Phải trả người bán là các bên liên quan (Chỉ tiết tại Thuyết minh số 36),5.498.415.811.210,5.498.415.811.210,3.458.252.113.982,3.458.252.113.982,5498415811210.0,5498415811210.0,3458252113982.0,3458252113982.0
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,3.246.105.466.237,3.246.105.466.237,2.815.223.929.180,2.815.223.929.180,3246105466237.0,3246105466237.0,2815223929180.0,2815223929180.0
Tổng Công ty Khí Việt Nam - Công ty Cố phần,Tổng Công ty Khí Việt Nam - Công ty Cố phần,Tổng Công ty Khí Việt Nam - Công ty Cố phần,1.963.751.227.988,1.963.751.227.988,411.359.082.070,411.359.082.070,1963751227988.0,1963751227988.0,411359082070.0,411359082070.0
Công ty Cố phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cố phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cố phần Dịch vụ kỹ thuật Điện lực Dầu khí Việt Nam,252.615.788.509,252.615.788.509,220.413.299.164,220.413.299.164,252615788509.0,252615788509.0,220413299164.0,220413299164.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,35.943.328.476,35.943.328.476,11.255.803.568,11.255.803.568,35943328476.0,35943328476.0,11255803568.0,11255803568.0
,,,6.083.863.695.351,6.083.863.695.351,4.119.962.820.170,4.119.962.820.170,6083863695351.0,6083863695351.0,4119962820170.0,4119962820170.0
