row_label_raw,row_label_full,col_0,CHI NEU,MIL SO,NAM NAY,NAM TRUCT,numeric__CHI NEU,numeric__MIL SO,numeric__NAM NAY,numeric__NAM TRUCT
1.,1.,1.,LUU CHUYÊN TIÊN TÜR HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TÜR HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TÜR HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TÜR HOẠT ĐỘNG KINH DOANH,,,,
1.,1. > 1.,1.,Lợi nhuận trước thuế,01,1.816.211.376.637,2.424.974.940.196,,1.0,1816211376637.0,2424974940196.0
2.,2.,2.,Đầu chính cho các khoản:,Đầu chính cho các khoản:,Đầu chính cho các khoản:,Đầu chính cho các khoản:,,,,
2.,2. > 2.,2.,Khấu hao tài sản cố định,02,1.619.279.688.181,1.620.905.843.192,,2.0,1619279688181.0,1620905843192.0
2.,2. > 2.,2.,Các khoản dự phòng,03,(513.662.837.624),1.597.116.795.920,,3.0,-513662837624.0,1597116795920.0
2.,2. > 2.,2.,Lãi chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,(16.937.955.126),(14.814.726.939),,4.0,-16937955126.0,-14814726939.0
2.,2. > 2.,2.,Lãi từ hoạt động đầu tư,05,(1.015.567.644.937),(718.900.265.170),,5.0,-1015567644937.0,-718900265170.0
2.,2. > 2.,2.,Chi phí lãi vay,06,286.633.067.609,523.640.150.940,,6.0,286633067609.0,523640150940.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước theyy đối vốn kru động,08,2.175.955.694.740,5.432.922.738.139,,8.0,2175955694740.0,5432922738139.0
3.,2. > 3.,3.,Giảm các khoản phải thu,09,2.110.871.409.248,1.013.107.117.753,,9.0,2110871409248.0,1013107117753.0
3.,2. > 3.,3.,Thay đổi hàng tồn kho,10,(413.795.709.744),(249.528.159.269),,10.0,-413795709744.0,-249528159269.0
3.,2. > 3.,3.,"Thay đổi các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,1.421.854.765.354,1.232.358.096.176,,11.0,1421854765354.0,1232358096176.0
3.,2. > 3.,3.,Thay đổi chi phí trả trước,12,(1.490.985.904.206),(63.844.666.841),,12.0,-1490985904206.0,-63844666841.0
3.,2. > 3.,3.,Tiền lãi vay đã trả,14,(306.827.797.520),(597.111.246.010),,14.0,-306827797520.0,-597111246010.0
3.,2. > 3.,3.,Thuế thu nhập doanh nghiệp đã nộp,15,(283.802.398.880),(277.212.186.307),,15.0,-283802398880.0,-277212186307.0
3.,2. > 3.,3.,Tiền chi khác cho hoạt động kinh doanh,17,(143.759.303.894),(97.529.218.066),,17.0,-143759303894.0,-97529218066.0
3.,2. > 3.,3.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,3.069.510.755.098,6.393.162.475.575,,20.0,3069510755098.0,6393162475575.0
II.,II.,II.,LUU CHUYÊN TIÊN TÜR HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TÜR HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TÜR HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TÜR HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chỉ mua sám, xây dựng tài sản cố định và các tài sản dài hạn khác",21,(211.735.373.649),(101.986.641.131),,21.0,-211735373649.0,-101986641131.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,1.131.090.908,3.228.526.450,,22.0,1131090908.0,3228526450.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(259.599.227.215),(319.997.000.000),,23.0,-259599227215.0,-319997000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,318.977.000.000,15.000.000.000,,24.0,318977000000.0,15000000000.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,-,(30.600.000.000),,25.0,,-30600000000.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,547.542.162.925,-,,26.0,547542162925.0,
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,634.033.209.698,704.476.225.195,,27.0,634033209698.0,704476225195.0
7.,II. > 7.,7.,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,1.030.348.862.667,270.121.110.514,,30.0,1030348862667.0,270121110514.0
