row_label_raw,row_label_full,CHÍ TIÊU,CHÍ TIÊU_1,Mã số,Năm nay,Năm nay_1,numeric__CHÍ TIÊU_1,numeric__Mã số,numeric__Năm nay,numeric__Năm nay_1
III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1.,1.,Tiền thu từ đi vay,33,13.106.390.625.556,13.230.238.437.794,,33.0,13106390625556.0,13230238437794.0
2.,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2.,2.,Tiền trả nợ gốc vay,34,(15.605.566.028.483),(16.865.363.765.913),,34.0,-15605566028483.0,-16865363765913.0
3.,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3.,3.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(468.334.258.500),(702.473.899.500),,36.0,-468334258500.0,-702473899500.0
,,,Lưu chuyển tiền thuần từ hoạt độngtài chính,40,(2.967.509.661.427),(4.337.599.227.619),,40.0,-2967509661427.0,-4337599227619.0
,,,Lưu chuyển tiền thuần trong năm(50=20+30+40),50,1.132.349.956.338,2.325.684.358.470,,50.0,1132349956338.0,2325684358470.0
,,,Tiền và tương đương tiền đầu năm,60,6.753.011.707.613,4.427.323.379.529,,60.0,6753011707613.0,4427323379529.0
,,,Ảnh hưởng của thay đối tỷ giá hối đoaiquy đối ngoại tệ,61,(2.601.686),3.969.614,,61.0,-2601686.0,3969614.0
,,,Tiền và tương đương tiền cuối năm(70=50+60+61),70,7.885.359.062.265,6.753.011.707.613,,70.0,7885359062265.0,6753011707613.0
Nguyễn Thị Hồng HạnhNgười lập,Nguyễn Thị Hồng HạnhNgười lập,Nguyễn Thị Hồng HạnhNgười lập,Nguyễn Thị Hồng HạnhNgười lập,Chu Quang ToánKế toán trường,Lê Như LinhTổng Giám đốc,Lê Như LinhTổng Giám đốc,,,,
