row_label_raw,row_label_full,col_0,Quyènsử dụng đất,Phần mềmmãy tính,Khác,Tổng,numeric__Quyènsử dụng đất,numeric__Phần mềmmãy tính,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.914.404.047,47.428.539.072,-,57.342.943.119,9914404047.0,47428539072.0,,57342943119.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,110.000.000,1.299.496.364,1.409.496.364,,110000000.0,1299496364.0,1409496364.0
Thanh lý,NGUYÊN GIÁ > Thanh lý,Thanh lý,-,(133.000.000),-,(133.000.000),,-133000000.0,,-133000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.914.404.047,47.405.539.072,1.299.496.364,58.619.439.483,9914404047.0,47405539072.0,1299496364.0,58619439483.0
GIÁ TRỊ HAO MÔN LÝY KẾ,GIÁ TRỊ HAO MÔN LÝY KẾ,GIÁ TRỊ HAO MÔN LÝY KẾ,GIÁ TRỊ HAO MÔN LÝY KẾ,GIÁ TRỊ HAO MÔN LÝY KẾ,GIÁ TRỊ HAO MÔN LÝY KẾ,GIÁ TRỊ HAO MÔN LÝY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LÝY KẾ > Số dư đầu năm,Số dư đầu năm,1.386.125.826,39.654.437.413,-,41.040.563.239,1386125826.0,39654437413.0,,41040563239.0
Khấu hao trong năm,GIÁ TRỊ HAO MÔN LÝY KẾ > Khấu hao trong năm,Khấu hao trong năm,276.017.710,5.319.476.340,28.200.685,5.623.694.735,276017710.0,5319476340.0,28200685.0,5623694735.0
Trích khấu hao đi vào xây dựngđở dang,GIÁ TRỊ HAO MÔN LÝY KẾ > Trích khấu hao đi vào xây dựngđở dang,Trích khấu hao đi vào xây dựngđở dang,-,-,217.374.135,217.374.135,,,217374135.0,217374135.0
Thanh lý,GIÁ TRỊ HAO MÔN LÝY KẾ > Thanh lý,Thanh lý,-,(133.000.000),-,(133.000.000),,-133000000.0,,-133000000.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LÝY KẾ > Số dư cuối năm,Số dư cuối năm,1.662.143.536,44.840.913.753,245.574.820,46.748.632.109,1662143536.0,44840913753.0,245574820.0,46748632109.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,8.528.278.221,7.774.101.659,-,16.302.379.880,8528278221.0,7774101659.0,,16302379880.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,8.252.260.511,2.564.625.319,1.053.921.544,11.870.807.374,8252260511.0,2564625319.0,1053921544.0,11870807374.0
