row_label_raw,row_label_full,Name,Relationship,numeric__Relationship
CAO Fashion Company Limited,CAO Fashion Company Limited,CAO Fashion Company Limited,Subsidiary,
PNJ Jewelry Production and Trading Company Limited,PNJ Jewelry Production and Trading Company Limited,PNJ Jewelry Production and Trading Company Limited,Subsidiary,
PNJ Laboratory Company Limited,PNJ Laboratory Company Limited,PNJ Laboratory Company Limited,Subsidiary,
Members of the Board of Directors and the Board of Management,Members of the Board of Directors and the Board of Management,Members of the Board of Directors and the Board of Management,Key management,
Vietnam Association For Women Entrepreneurs,Vietnam Association For Women Entrepreneurs,Vietnam Association For Women Entrepreneurs,(i),
Ho Chi Minh City Association for Women Executives & Entrepreneurs,Ho Chi Minh City Association for Women Executives & Entrepreneurs,Ho Chi Minh City Association for Women Executives & Entrepreneurs,(i),
Vietnam Institute of Directors Social Enterprise Joint Stock Company,Vietnam Institute of Directors Social Enterprise Joint Stock Company,Vietnam Institute of Directors Social Enterprise Joint Stock Company,(i),
Talent Net Corporation,Talent Net Corporation,Talent Net Corporation,(ii),
Young Businesspeople Association of Ho Chi Minh City,Young Businesspeople Association of Ho Chi Minh City,Young Businesspeople Association of Ho Chi Minh City,(iii),
Young Vietnamese Entrepreneurs,Young Vietnamese Entrepreneurs,Young Vietnamese Entrepreneurs,(iii),
Business Association of High Quality Vietnamese Products Ho Chi Minh City,Business Association of High Quality Vietnamese Products Ho Chi Minh City,Business Association of High Quality Vietnamese Products Ho Chi Minh City,(iii),
Vietnam Gold Trader Association,Vietnam Gold Trader Association,Vietnam Gold Trader Association,(iii),
An Phu International Healthcare Company Limited,An Phu International Healthcare Company Limited,An Phu International Healthcare Company Limited,(iv),
Golden Space Furniture Joint Stock Company,Golden Space Furniture Joint Stock Company,Golden Space Furniture Joint Stock Company,(iv),
