row_label_raw,row_label_full,col_0,30.6.2025,31.12.2024,numeric__30.6.2025,numeric__31.12.2024
Number of shares registered,Number of shares registered,Number of shares registered,"338,074,776","338,074,776",,
Number of shares issued,Number of shares issued,Number of shares issued,"338,074,776","338,074,776",,
Number of shares repurchased,Number of shares issued > Number of shares repurchased,Number of shares repurchased,"(169,559)","(169,559)",-169.559,-169.559
Number of existing shares in circulation,Number of existing shares in circulation,Number of existing shares in circulation,"337,905,217","337,905,217",,
