row_label_raw,row_label_full,Mã số,TÀI SẢN (tiếp theo),Thuyết minh,Tại ngày > 30.6.2025 VND,Tại ngày > 31.12.2024 VND,numeric__TÀI SẢN (tiếp theo),numeric__Thuyết minh,numeric__Tại ngày > 30.6.2025 VND,numeric__Tại ngày > 31.12.2024 VND
200,200,200,TÀI SẢN DÀI HẠN,,1.979.902.390.527,1.975.395.225.192,,,1979902390527.0,1975395225192.0
210,210,210,Khoản phải thu dài hạn,,111.897.653.588,109.733.749.391,,,111897653588.0,109733749391.0
216,216,216,Phải thu dài hạn khác,6(b),111.897.653.588,109.733.749.391,,,111897653588.0,109733749391.0
220,220,220,Tài sản cố định,,737.477.328.630,757.492.936.453,,,737477328630.0,757492936453.0
221,221,221,Tài sản cố định hữu hình,10(a),137.650.163.757,149.244.660.665,,,137650163757.0,149244660665.0
222,222,222,Nguyên giá,,419.101.706.343,415.510.256.590,,,419101706343.0,415510256590.0
223,223,223,Giá trị khấu hao lũy kế,,(281.451.542.586),(266.265.595.925),,,-281451542586.0,-266265595925.0
227,227,227,Tài sản cố định vô hình,10(b),599.827.164.873,608.248.275.788,,,599827164873.0,608248275788.0
228,228,228,Nguyên giá,,706.163.555.144,706.163.555.144,,,706163555144.0,706163555144.0
229,229,229,Giá trị khấu hao lũy kế,,(106.336.390.271),(97.915.279.356),,,-106336390271.0,-97915279356.0
240,240,240,Tài sản dở dang dài hạn,,54.787.059.250,29.276.159.250,,,54787059250.0,29276159250.0
242,242,242,Chi phí xây dựng cơ bản dở dang,,54.787.059.250,29.276.159.250,,,54787059250.0,29276159250.0
250,250,250,Đầu tư tài chính dài hạn,11(c),697.582.000.000,634.632.000.000,,,697582000000.0,634632000000.0
251,251,251,Đầu tư vào công ty con,,721.000.000.000,660.000.000.000,,,721000000000.0,660000000000.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,,401.201.613.400,399.251.613.400,,,401201613400.0,399251613400.0
254,254,254,Dự phòng đầu tư tài chính dài hạn,,(424.619.613.400),(424.619.613.400),,,-424619613400.0,-424619613400.0
260,260,260,Tài sản dài hạn khác,,378.158.349.059,444.260.380.098,,,378158349059.0,444260380098.0
261,261,261,Chi phí trả trước dài hạn,9(b),179.768.924.221,249.467.949.459,,,179768924221.0,249467949459.0
262,262,262,Tài sản thuế thu nhập doanh nghiệp hoãn lại,21,198.389.424.838,194.792.430.639,,21.0,198389424838.0,194792430639.0
270,270,270,TỔNG TÀI SẢN,,16.383.802.266.010,16.220.461.685.792,,,16383802266010.0,16220461685792.0
