row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Tại ngày > 30.6.2025 VND,Tại ngày > 31.12.2024 VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Tại ngày > 30.6.2025 VND,numeric__Tại ngày > 31.12.2024 VND
100,100,100,TÀI SẢN NGĂN HẠN,,14.403.899.875.483,14.245.066.460.600,,,14403899875483.0,14245066460600.0
110,110,110,Tiền và các khoản tương đương tiền,3,277.506.200.445,876.386.642.542,,3.0,277506200445.0,876386642542.0
111,111,111,Tiền,,277.506.200.445,776.386.642.542,,,277506200445.0,776386642542.0
112,112,112,Các khoản tương đương tiền,,-,100.000.000.000,,,,100000000000.0
120,120,120,Đầu tư tài chính ngắn hạn,,1.298.921.673.893,1.020.000.000.000,,,1298921673893.0,1020000000000.0
121,121,121,Chứng khoán kinh doanh,11(a),98.921.673.893,-,,,98921673893.0,
123,123,123,Đầu tư nằm giữ đến ngày đáo hạn,11(b),1.200.000.000.000,1.020.000.000.000,,,1200000000000.0,1020000000000.0
130,130,130,Các khoản phải thu ngắn hạn,,333.589.006.351,534.032.818.675,,,333589006351.0,534032818675.0
131,131,131,Phải thu ngắn hạn của khách hàng,4,212.753.378.439,247.307.998.953,,4.0,212753378439.0,247307998953.0
132,132,132,Trả trước cho người bán ngắn hạn,5,40.301.767.553,232.487.017.608,,5.0,40301767553.0,232487017608.0
136,136,136,Phải thu ngắn hạn khác,6(a),108.111.487.471,81.212.804.391,,,108111487471.0,81212804391.0
137,137,137,Dự phòng phải thu ngắn hạn khó đòi,7,(27.711.810.954),(27.711.810.954),,7.0,-27711810954.0,-27711810954.0
139,139,139,Tài sân thiếu chờ xử lý,,134.183.842,736.808.677,,,134183842.0,736808677.0
140,140,140,Hàng tồn kho,8,12.407.728.957.805,1.724.516.818.448,,8.0,12407728957805.0,1724516818448.0
141,141,141,Hàng tồn kho,,12.432.318.421.205,1.755.388.466.094,,,12432318421205.0,1755388466094.0
149,149,149,Dự phòng giảm giá hàng tồn kho,,(24.589.463.400),(30.871.647.646),,,-24589463400.0,-30871647646.0
150,150,150,Tài sân ngắn hạn khác,,86.154.036.989,90.130.180.935,,,86154036989.0,90130180935.0
151,151,151,Chi phí trả trước ngắn hạn,9(a),85.895.602.523,89.762.681.562,,,85895602523.0,89762681562.0
152,152,152,"Thuế giá trị gia tăng (""GTGT"") được khấu trừ",,258.434.466,367.499.373,,,258434466.0,367499373.0
