row_label_raw,row_label_full,col_0,Kỳ 6 tháng kết thúc ngày,Kỳ 6 tháng kết thúc ngày_1,numeric__Kỳ 6 tháng kết thúc ngày,numeric__Kỳ 6 tháng kết thúc ngày_1
,,,30.6.2025VND,30.6.2024VND,,
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,
"Doanh thu bán vàng, bạcvà đồ trang sức","Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu bán vàng, bạcvà đồ trang sức","Doanh thu bán vàng, bạcvà đồ trang sức",17.290.327.321.087,22.407.696.037.237,17290327321087.0,22407696037237.0
Doanh thu cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,35.488.330.539,33.541.288.724,35488330539.0,33541288724.0
Doanh thu bán phụ kiện,Doanh thu bán hàng và cung cấp dịch vụ > Doanh thu bán phụ kiện,Doanh thu bán phụ kiện,23.722.939.832,34.462.749.223,23722939832.0,34462749223.0
,,,17.349.538.591.458,22.475.700.075.184,17349538591458.0,22475700075184.0
Khoản giảm trừ,Khoản giảm trừ,Khoản giảm trừ,Khoản giảm trừ,Khoản giảm trừ,,
Hàng bán bị trả lại,Khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,204.404.849.434,193.660.033.509,204404849434.0,193660033509.0
Doanh thu thuần về bán hàng vàcung cấp dịch vụ,Doanh thu thuần về bán hàng vàcung cấp dịch vụ,Doanh thu thuần về bán hàng vàcung cấp dịch vụ,Doanh thu thuần về bán hàng vàcung cấp dịch vụ,Doanh thu thuần về bán hàng vàcung cấp dịch vụ,,
"Doanh thu thuần về bán vàng, bạcvà đồ trang sức","Doanh thu thuần về bán hàng vàcung cấp dịch vụ > Doanh thu thuần về bán vàng, bạcvà đồ trang sức","Doanh thu thuần về bán vàng, bạcvà đồ trang sức",17.085.922.471.653,22.214.036.003.728,17085922471653.0,22214036003728.0
Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về bán hàng vàcung cấp dịch vụ > Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,35.488.330.539,33.541.288.724,35488330539.0,33541288724.0
Doanh thu thuần về bán phụ kiện,Doanh thu thuần về bán hàng vàcung cấp dịch vụ > Doanh thu thuần về bán phụ kiện,Doanh thu thuần về bán phụ kiện,23.722.939.832,34.462.749.223,23722939832.0,34462749223.0
,,,17.145.133.742.024,22.282.040.041.675,17145133742024.0,22282040041675.0
