row_label_raw,row_label_full,col_0,col_1,Kỳ 6 tháng kết thúc ngày,Kỳ 6 tháng kết thúc ngày_1,numeric__col_1,numeric__Kỳ 6 tháng kết thúc ngày,numeric__Kỳ 6 tháng kết thúc ngày_1
,,,,30.6.2025VND,30.6.2024VND,,,
(i),(i),(i),Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,,
(i),(i) > (i),(i),Công ty TNHH MTV Chế tác và Kinh doanh Trang sức PNJ,2.140.675.930.104,2.176.761.268.941,,2140675930104.0,2176761268941.0
(i),(i) > (i),(i),Công ty TNHH MTV Thời trang CAO,100.141.239.623,31.751.394.358,,100141239623.0,31751394358.0
(i),(i) > (i),(i),Công ty TNHH MTV Giám định PNJ,500.000.000,545.454.546,,500000000.0,545454546.0
(i),(i) > (i),(i),Công ty Cổ phần Kết nối Nhân tải,304.986.469,-,,304986469.0,
(i),(i) > (i),(i),,2.241.622.156.196,2.209.058.117.845,,2241622156196.0,2209058117845.0
(ii),(ii),(ii),Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,,,
(ii),(ii) > (ii),(ii),Công ty TNHH MTV Chế tác và Kinh doanh Trang sức PNJ,4.683.354.367.804,4.888.925.791.720,,4683354367804.0,4888925791720.0
(ii),(ii) > (ii),(ii),Công ty TNHH MTV Thời trang CAO,107.384.914.550,2.420.834.504,,107384914550.0,2420834504.0
(ii),(ii) > (ii),(ii),Công ty TNHH MTV Giám định PNJ,5.055.719.460,4.740.472.206,,5055719460.0,4740472206.0
(ii),(ii) > (ii),(ii),Công ty Cổ phần Kết nối Nhân tải,662.096.700,863.735.040,,662096700.0,863735040.0
(ii),(ii) > (ii),(ii),Hội Nữ Doanh nhân Thành phố Hồ Chí Minh,304.000.000,150.000.000,,304000000.0,150000000.0
(ii),(ii),(ii),Công ty Cổ phần Doanh nghiệp Xã hội,,,,,
(ii),(ii) > (ii),(ii),Viện thành viên Hội đồng Quản trị Việt Nam,290.367.072,23.760.000,,290367072.0,23760000.0
(ii),(ii) > (ii),(ii),Hội Doanh nhân Trẻ Thành phố Hồ Chí Minh,238.000.000,465.000.000,,238000000.0,465000000.0
(ii),(ii) > (ii),(ii),Hội Doanh Nhân Trẻ Việt Nam,150.000.000,240.000.000,,150000000.0,240000000.0
(ii),(ii),(ii),Công ty TNHH Phòng khám Đa khoa,,,,,
(ii),(ii) > (ii),(ii),Quốc tế An Phú,54.000.000,30.000.000,,54000000.0,30000000.0
(ii),(ii) > (ii),(ii),Hiệp Hội Kinh Doanh Vàng Việt Nam,50.000.000,50.000.000,,50000000.0,50000000.0
(ii),(ii) > (ii),(ii),Hội Doanh nghiệp Hàng Việt Nam chất lượng cao Thành phố Hồ Chí Minh,10.800.000,143.200.000,,10800000.0,143200000.0
(ii),(ii) > (ii),(ii),Hiệp hội Nữ doanh nhân Việt Nam,-,42.406.000,,,42406000.0
(ii),(ii) > (ii),(ii),Công ty Cổ phần Nội thất Không Gian Vàng,-,37.418.553,,,37418553.0
(ii),(ii) > (ii),(ii),,4.797.554.265.586,4.898.132.618.023,,4797554265586.0,4898132618023.0
(iii),(iii),(iii),Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,,
(iii),(iii) > (iii),(iii),Công ty TNHH MTV Thời trang CAO,61.000.000.000,-,,61000000000.0,
(iv),(iv),(iv),Thu nhập khác,Thu nhập khác,Thu nhập khác,,,
(iv),(iv) > (iv),(iv),Công ty TNHH MTV Thời trang CAO,4.616.329.369,-,,4616329369.0,
