row_label_raw,row_label_full,Code,ASSETS,Note,As at,As at_1,numeric__ASSETS,numeric__Note,numeric__As at,numeric__As at_1
Code,Code,Code,ASSETS,Note,30.6.2025VND,31.12.2024VND,,,,
100,100,100,CURRENT ASSETS,,"14,403,899,875,483","14,245,066,460,600",,,,
110,100 > 110,110,Cash and cash equivalents,3,"277,506,200,445","876,386,642,542",,3.0,,
111,111,111,Cash,,"277,506,200,445","776,386,642,542",,,,
112,112,112,Cash equivalents,,-,"100,000,000,000",,,,
120,120,120,Short-term investments,,"1,298,921,673,893","1,020,000,000,000",,,,
121,121,121,Trading securities,11(a),"98,921,673,893",-,,,,
123,123,123,Investments held to maturity,11(b),"1,200,000,000,000","1,020,000,000,000",,,,
130,130,130,Short-term receivables,,"333,589,006,351","534,032,818,675",,,,
131,130 > 131,131,Short-term trade accounts receivable,4,"212,753,378,439","247,307,998,953",,4.0,,
132,130 > 132,132,Short-term prepayments to suppliers,5,"40,301,767,553","232,487,017,608",,5.0,,
136,136,136,Other short-term receivables,6(a),"108,111,487,471","81,212,804,391",,,,
137,136 > 137,137,Provision for doubtful debts – short-term,7,"(27,711,810,954)","(27,711,810,954)",,7.0,,
139,139,139,Shortage of assets awaiting resolution,,"134,183,842","736,808,677",,,,
140,139 > 140,140,Inventories,8,"12,407,728,957,805","11,724,516,818,448",,8.0,,
141,141,141,Inventories,,"12,432,318,421,205","11,755,388,466,094",,,,
149,149,149,Provision for decline in value of inventories,,"(24,589,463,400)","(30,871,647,646)",,,,
150,150,150,Other current assets,,"86,154,036,989","90,130,180,935",,,,
151,151,151,Short-term prepaid expenses,9(a),"85,895,602,523","89,762,681,562",,,,
152,152,152,"Value Added Tax (""VAT"") to be reclaimed",,"258,434,466","367,499,373",,,,
