row_label_raw,row_label_full,col_0,For the six-month period ended,For the six-month period ended_1,numeric__For the six-month period ended,numeric__For the six-month period ended_1
,,,30.6.2025VND,30.6.2024VND,,
Interest expense,Interest expense,Interest expense,"54,019,737,147","15,667,290,453",,
Realised foreign exchange losses,Realised foreign exchange losses,Realised foreign exchange losses,"9,477,679,986","7,962,044,135",,
Others,Others,Others,"10,920,229,088","8,901,430,037",,
,,,"74,417,646,221","32,530,764,625",,
