row_label_raw,row_label_full,col_0,For the six-monthperiod ended30.6.2025VND,For theyear ended31.12.2024VND,numeric__For the six-monthperiod ended30.6.2025VND,numeric__For theyear ended31.12.2024VND
Beginning of period/year,Beginning of period/year,Beginning of period/year,"249,395,714,371","171,489,239,395",,
Appropriation during the period/year (Note 23),Appropriation during the period/year (Note 23),Appropriation during the period/year (Note 23),"105,646,000,000","98,555,000,000",,
Utilisation during the period/year,Utilisation during the period/year,Utilisation during the period/year,"(13,822,032,067)","(20,648,525,024)",,
End of period/year,End of period/year,End of period/year,"341,219,682,304","249,395,714,371",,
