row_label_raw,row_label_full,col_0,As at1.1.2025VND,Payablesduring the periodVND,Payments/offsettingduring the periodVND,As at30.6.2025VND,numeric__As at1.1.2025VND,numeric__Payablesduring the periodVND,numeric__Payments/offsettingduring the periodVND,numeric__As at30.6.2025VND
VAT,VAT,VAT,"49,289,686,820","415,693,695,546","(412,435,105,185)","52,548,277,181",,,,
CIT,CIT,CIT,"296,364,157,701","263,254,365,899","(378,034,232,540)","181,584,291,060",,,,
Personal income tax,Personal income tax,Personal income tax,"12,427,730,646","275,248,593,114","(231,964,409,244)","55,711,914,516",,,,
Others,Others,Others,"4,558,832,635","3,639,879,151","(3,139,879,151)","5,058,832,635",,,,
,,,"362,640,407,802","957,836,533,710","(1,025,573,626,120)","294,903,315,392",,,,
