row_label_raw,row_label_full,col_0,For the six-month period ended30.6.2025VND,For theyear ended31.12.2024VND,numeric__For the six-month period ended30.6.2025VND,numeric__For theyear ended31.12.2024VND
Beginning of period/year,Beginning of period/year,Beginning of period/year,"194,792,430,639","117,924,380,098",,
Interim separate income statement credit,Interim separate income statement credit,Interim separate income statement credit,"3,596,994,199","76,868,050,541",,
End of period/year,End of period/year,End of period/year,"198,389,424,838","194,792,430,639",,
