row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,3.281.691.880.000,1.851.376.032.458,(3.384.090.000),1.936.397.556.918,2.493.382.470.253,9.559.463.849.629,3281691880000.0,1851376032458.0,-3384090000.0,1936397556918.0,2493382470253.0,9559463849629.0
Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đợt 1,Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đợt 1,Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đợt 1,65.599.920.000,65.531.920.000,-,-,-,131.131.840.000,65599920000.0,65531920000.0,,,,131131840000.0
Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đợt 2,Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đợt 2,Phát hành cổ phiếu theo chương trình lợa chọn cho người lao động đợt 2,33.455.960.000,33.401.960.000,-,-,-,66.857.920.000,33455960000.0,33401960000.0,,,,66857920000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.863.517.667.643,1.863.517.667.643,,,,,1863517667643.0,1863517667643.0
Chia cổ tức (Thuyết minh 24),Chia cổ tức (Thuyết minh 24),Chia cổ tức (Thuyết minh 24),-,-,-,-,(673.803.076.400),(673.803.076.400),,,,,-673803076400.0,-673803076400.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,-,(98.555.000.000),(98.555.000.000),,,,,-98555000000.0,-98555000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,689.884.000.000,(689.884.000.000),-,,,,689884000000.0,-689884000000.0,
"Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt",-,-,-,-,(89.422.000.000),(89.422.000.000),,,,,-89422000000.0,-89422000000.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,3.380.747.760.000,1.950.309.912.458,(3.384.090.000),2.626.281.556.918,2.805.236.061.496,10.759.191.200.872,3380747760000.0,1950309912458.0,-3384090000.0,2626281556918.0,2805236061496.0,10759191200872.0
Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,Lợi nhuận thuần trong kỳ,-,-,-,-,1.029.962.293.605,1.029.962.293.605,,,,,1029962293605.0,1029962293605.0
Chia cổ tức (Thuyết minh 24) (*),Chia cổ tức (Thuyết minh 24) (*),Chia cổ tức (Thuyết minh 24) (*),-,-,-,-,(202.743.130.200),(202.743.130.200),,,,,-202743130200.0,-202743130200.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)",-,-,-,-,(105.646.000.000),(105.646.000.000),,,,,-105646000000.0,-105646000000.0
Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),-,-,-,845.166.000.000,(845.166.000.000),-,,,,845166000000.0,-845166000000.0,
"Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt (*)","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt (*)","Trích quỹ hoạt động của Hội đồng Quản trị và quỹ khen thưởng Hội đồng Quản trị, lãnh đạo chủ chốt (*)",-,-,-,-,(92.258.000.000),(92.258.000.000),,,,,-92258000000.0,-92258000000.0
Tại ngày 30 tháng 6 năm 2025,Tại ngày 30 tháng 6 năm 2025,Tại ngày 30 tháng 6 năm 2025,3.380.747.760.000,1.950.309.912.458,(3.384.090.000),3.471.447.556.918,2.589.385.224.901,11.388.506.364.277,3380747760000.0,1950309912458.0,-3384090000.0,3471447556918.0,2589385224901.0,11388506364277.0
