row_label_raw,row_label_full,Form B 09a – DN,Form B 09a – DN_1,Form B 09a – DN_2,Form B 09a – DN_3,numeric__Form B 09a – DN_1,numeric__Form B 09a – DN_2,numeric__Form B 09a – DN_3
As at1.1.2025VND,As at1.1.2025VND,As at1.1.2025VND,IncreaseVND,DecreaseVND,As at30.6.2025VND,,,
"750,000,000,000","750,000,000,000","750,000,000,000","1,276,565,235,889","(1,025,315,803,753)","1,001,249,432,136",,,
"854,000,000,000","854,000,000,000","854,000,000,000","1,042,031,048,604","(924,000,000,000)","972,031,048,604",,,
"402,000,000,000","402,000,000,000","402,000,000,000","726,680,721,912","(631,000,000,000)","497,680,721,912",,,
"149,266,980,410","149,266,980,410","149,266,980,410","373,501,589,152","(343,169,526,070)","179,599,043,492",,,
"159,000,000,000","159,000,000,000","159,000,000,000","156,000,000,000","(159,000,000,000)","156,000,000,000",,,
-,-,-,"62,000,000,000",-,"62,000,000,000",,,
"115,500,000,000","115,500,000,000","115,500,000,000","55,000,000,000","(115,500,000,000)","55,000,000,000",,,
"630,000,000,000","630,000,000,000","630,000,000,000","370,000,000,000","(1,000,000,000,000)",-,,,
"120,000,000,000","120,000,000,000","120,000,000,000",-,"(120,000,000,000)",-,,,
"3,179,766,980,410","3,179,766,980,410","3,179,766,980,410","4,061,778,595,557","(4,317,985,329,823)","2,923,560,246,144",,,
