row_label_raw,row_label_full,col_0,For the six-monthperiod ended30.6.2025VND,For theyear ended31.12.2024VND,numeric__For the six-monthperiod ended30.6.2025VND,numeric__For theyear ended31.12.2024VND
Beginning of period/year(Reversal)/Increase (Note 27),Beginning of period/year(Reversal)/Increase (Note 27),Beginning of period/year(Reversal)/Increase (Note 27),"30,871,647,646(6,282,184,246)","-30,871,647,646",,
End of period/year,End of period/year,End of period/year,"24,589,463,400","30,871,647,646",,
