row_label_raw,row_label_full,col_0,For the six-month period ended 30.6.2025 VND,For the year ended 31.12.2024 VND,numeric__For the six-month period ended 30.6.2025 VND,numeric__For the year ended 31.12.2024 VND
Beginning of period/year,Beginning of period/year,Beginning of period/year,"7,553,565,047","5,432,318,407",,
Dividend payable during the period/year (Note 23),Dividend payable during the period/year (Note 23),Dividend payable during the period/year (Note 23),"202,743,130,200","673,803,076,400",,
Dividend paid in cash,Dividend paid in cash,Dividend paid in cash,"(202,112,808,240)","(671,681,829,760)",,
End of period/year,End of period/year,End of period/year,"8,183,887,007","7,553,565,047",,
