row_label_raw,row_label_full,col_0,For the six-month period ended,For the six-month period ended_1,numeric__For the six-month period ended,numeric__For the six-month period ended_1
,,,30.6.2025VND,30.6.2024VND,,
Cost of jewelry sold and services rendered,Cost of jewelry sold and services rendered,Cost of jewelry sold and services rendered,"13,694,803,242,458","18,810,235,675,659",,
Cost of accessories sold(Reversal for provision)/Provision for decline in value of inventories (Note 8),Cost of accessories sold(Reversal for provision)/Provision for decline in value of inventories (Note 8),Cost of accessories sold(Reversal for provision)/Provision for decline in value of inventories (Note 8),"19,069,113,606","29,999,458,366",,
Cost of accessories sold(Reversal for provision)/Provision for decline in value of inventories (Note 8),Cost of accessories sold(Reversal for provision)/Provision for decline in value of inventories (Note 8),Cost of accessories sold(Reversal for provision)/Provision for decline in value of inventories (Note 8),"(6,282,184,246)","34,761,689,223",,
Cost of accessories sold(Reversal for provision)/Provision for decline in value of inventories (Note 8),Cost of accessories sold(Reversal for provision)/Provision for decline in value of inventories (Note 8),Cost of accessories sold(Reversal for provision)/Provision for decline in value of inventories (Note 8),"13,707,590,171,818","18,874,996,823,248",,
