row_label_raw,row_label_full,Code,Code_1,Note,For the six-month period ended,For the six-month period ended_1,numeric__Code_1,numeric__Note,numeric__For the six-month period ended,numeric__For the six-month period ended_1
Code,Code,Code,Code,Note,30.6.2025VND,30.6.2024VND,,,,
01,01,01,Revenue from sales of goods and rendering of services,,"17,349,538,591,458","22,475,700,075,184",,,,
02,02,02,Less deduction,,"204,404,849,434","193,660,033,509",,,,
10,02 > 10,10,Net revenue from sales of goods and rendering of services (10 = 01 - 02),26,"17,145,133,742,024","22,282,040,041,675",,26.0,,
11,02 > 11,11,Cost of goods sold and services rendered,27,"13,707,590,171,818","18,874,996,823,248",,27.0,,
20,20,20,Gross profit from sales of goods and rendering of services (20 = 10 - 11),,"3,437,543,570,206","3,407,043,218,427",,,,
21,20 > 21,21,Financial income,28,"57,078,955,126","18,155,509,014",,28.0,,
22,20 > 22,22,Financial expenses,29,"74,417,646,221","32,530,764,625",,29.0,,
23,23,23,- Including: Interest expense,,"54,019,737,147","15,667,290,453",,,,
25,23 > 25,25,Selling expenses,30,"1,790,006,453,331","1,689,486,027,202",,30.0,,
26,23 > 26,26,General and administration expenses,31,"351,592,972,068","368,578,918,923",,31.0,,
30,30,30,Net operating profit(30 = 20 + 21 - 22 - 25 - 26),,"1,278,605,453,712","1,334,603,016,691",,,,
31,31,31,Other income,,"13,943,804,369","4,055,107,977",,,,
32,32,32,Other expenses,,"2,929,592,776","3,349,801,181",,,,
40,40,40,Net other income (40 = 31 - 32),,"11,014,211,593","705,306,796",,,,
50,50,50,Net accounting profit before tax(50 = 30 + 40),,"1,289,619,665,305","1,335,308,323,487",,,,
51,50 > 51,51,"Corporate income tax (""CIT"") - current",32,"263,254,365,899","277,769,644,645",,32.0,,
52,50 > 52,52,CIT - deferred,32,"(3,596,994,199)","(9,603,611,207)",,32.0,,
60,60,60,Net profit after tax (60 = 50 - 51 - 52),,"1,029,962,293,605","1,067,142,290,049",,,,
