row_label_raw,row_label_full,col_0,col_1,30.6.2025VND,31.12.2024VND,numeric__col_1,numeric__30.6.2025VND,numeric__31.12.2024VND
(i),(i),(i),Short-term trade accounts receivable (Note 4),,,,,
(i),(i),(i),CAO Fashion Company Limited,"178,812,248,250","191,254,639,109",,,
(ii),(ii),(ii),Short-term prepayments to suppliers (Note 5),,,,,
(ii),(ii),(ii),Vietnam Gold Trader Association,"50,000,000",-,,,
(iii),(iii),(iii),Other short-term receivables (Note 6(a)),,,,,
(iii),(iii),(iii),CAO Fashion Company Limited,"28,677,957,836","22,682,784,012",,,
(iv),(iv),(iv),Short-term trade accounts payable (Note 12),,,,,
(iv),(iv),(iv),PNJ Jewelry Production and Trading Company Limited,"126,247,584,622","18,642,039,731",,,
(iv),(iv),(iv),PNJ Laboratory Company Limited,"765,121,550","3,236,765,000",,,
(iv),(iv),(iv),Golden Space Furniture Joint Stock Company,"2,571,372","2,571,372",,,
(iv),(iv),(iv),,"127,015,277,544","21,881,376,103",,,
(v),(v),(v),Other short-term payables (Note 17),,,,,
(v),(v),(v),Members of the Board of Directors,"55,915,538,598","28,680,375,345",,,
(vi),(vi),(vi),Other long-term payables,,,,,
(vi),(vi),(vi),PNJ Laboratory Company Limited,"300,000,000","300,000,000",,,
