row_label_raw,row_label_full,Số dư đầu kỳ/năm > Cổ tức phải trả trong kỳ/năm(Thuyết minh 23),Kỳ 6 thángkết thúc ngày30.6.2025VND > 7.553.565.047 > 202.743.130.200,Năm tài chínhkết thúc ngày31.12.2024VND > 5.432.318.407 > 673.803.076.400,numeric__Kỳ 6 thángkết thúc ngày30.6.2025VND > 7.553.565.047 > 202.743.130.200,numeric__Năm tài chínhkết thúc ngày31.12.2024VND > 5.432.318.407 > 673.803.076.400
Cổ tức đã chi trả bằng tiền,Cổ tức đã chi trả bằng tiền,Cổ tức đã chi trả bằng tiền,(202.112.808.240),(671.681.829.760),-202112808240.0,-671681829760.0
Số dư cuối kỳ/năm,Số dư cuối kỳ/năm,Số dư cuối kỳ/năm,8.183.887.007,7.553.565.047,8183887007.0,7553565047.0
