row_label_raw,row_label_full,col_0,col_1,For the six-month period ended,For the six-month period ended_1,numeric__col_1,numeric__For the six-month period ended,numeric__For the six-month period ended_1
,,,,30.6.2025VND,30.6.2024VND,,,
(ii),(ii),(ii),Purchases of goods and services,,,,,
,,,PNJ Jewelry Production and Trading Company Limited,"4,683,354,367,804","4,888,925,791,720",,,
,,,CAO Fashion Company Limited,"107,384,914,550","2,420,834,504",,,
,,,PNJ Laboratory Company Limited,"5,055,719,460","4,740,472,206",,,
,,,Talent Net Corporation,"662,096,700","863,735,040",,,
,,,Ho Chi Minh City Association for Women Executives & Entrepreneurs,"304,000,000","150,000,000",,,
,,,Vietnam Institute of Directors Social Enterprise Joint Stock Company,"290,367,072","23,760,000",,,
,,,Young Businesspeople Association of Ho Chi Minh City,"238,000,000","465,000,000",,,
,,,Young Vietnamese Entrepreneurs,"150,000,000","240,000,000",,,
,,,An Phu International Healthcare Company Limit,"54,000,000","30,000,000",,,
,,,Vietnam Gold Trader Association,"50,000,000","50,000,000",,,
,,,Business Association of High Quality Vietnamese Products Ho Chi Minh City,"10,800,000","143,200,000",,,
,,,Vietnam Association For Women Entrepreneurs,-,"42,406,000",,,
,,,Golden Space Furniture Joint Stock Company,-,"37,418,553",,,
,,,,"4,797,554,265,586","4,898,132,618,023",,,
(iii),(iii),(iii),Investments in subsidiaries,,,,,
,,,CAO Fashion Company Limited,"61,000,000,000",-,,,
(iv),(iv),(iv),Other income,,,,,
,,,CAO Fashion Company Limited,"4,616,329,369",-,,,
