row_label_raw,row_label_full,Company,Place of incorporation and operation,Principal activities,30.6.2025,30.6.2025_1,31.12.2024,31.12.2024_1,numeric__Place of incorporation and operation,numeric__Principal activities,numeric__30.6.2025,numeric__30.6.2025_1,numeric__31.12.2024,numeric__31.12.2024_1
Company,Company,Company,Place of incorporation and operation,Principal activities,% of ownership,% of held voting rights,% of ownership,% of held voting rights,,,,,,
CAO Fashion Company Limited,Company > CAO Fashion Company Limited,CAO Fashion Company Limited,Ho Chi Minh City,Trading of jewellery products,100,100,100,100,,,100.0,100.0,100.0,100.0
PNJ Laboratory Company Limited,Company > PNJ Laboratory Company Limited,PNJ Laboratory Company Limited,Ho Chi Minh City,Jewelry inspection and consultancy services,100,100,100,100,,,100.0,100.0,100.0,100.0
PNJ Jewelry Production and Trading Company Limited,Company > PNJ Jewelry Production and Trading Company Limited,PNJ Jewelry Production and Trading Company Limited,Ho Chi Minh City,Manufacturing and trading jewelry,100,100,100,100,,,100.0,100.0,100.0,100.0
