row_label_raw,row_label_full,Mãsố,NGUỒN VỐN,Thuyếtminh,Tại ngày,Tại ngày_1,numeric__NGUỒN VỐN,numeric__Thuyếtminh,numeric__Tại ngày,numeric__Tại ngày_1
Mãsố,Mãsố,Mãsố,NGUỒN VỐN,Thuyếtminh,30.6.2025VND,31.12.2024VND,,,,
300,Mãsố > 300,300,NỘ PHẢI TRẢ,,4.995.295.901.733,5.461.270.484.920,,,4995295901733.0,5461270484920.0
310,Mãsố > 310,310,Nợ ngắn hạn,,4.984.664.271.983,5.450.658.855.170,,,4984664271983.0,5450658855170.0
311,Mãsố > 311,311,Phải trả người bán ngắn hạn,12,314.411.836.398,536.970.403.390,,12.0,314411836398.0,536970403390.0
312,Mãsố > 312,312,Người mua trả tiền trước ngắn hạn,13,126.712.987.594,166.971.764.126,,13.0,126712987594.0,166971764126.0
313,Mãsố > 313,313,Thuế và các khoản phải nộp Nhà nước,14,294.903.315.392,362.640.407.802,,14.0,294903315392.0,362640407802.0
314,Mãsố > 314,314,Phải trả người lao động,15,635.038.145.543,525.892.538.267,,15.0,635038145543.0,525892538267.0
315,Mãsố > 315,315,Chi phí phải trả ngắn hạn,16,231.964.488.708,341.225.615.207,,16.0,231964488708.0,341225615207.0
319,Mãsố > 319,319,Phải trả ngắn hạn khác,17,90.305.861.597,61.247.723.294,,17.0,90305861597.0,61247723294.0
320,Mãsố > 320,320,Vay ngắn hạn,18,2.923.560.246.144,3.179.766.980.410,,18.0,2923560246144.0,3179766980410.0
321,Mãsố > 321,321,Dự phòng phải trả ngắn hạn,20(a),26.547.708.303,26.547.708.303,,,26547708303.0,26547708303.0
322,Mãsố > 322,322,"Quỹ khen thưởng, phúc lợi",19,341.219.682.304,249.395.714.371,,19.0,341219682304.0,249395714371.0
330,Mãsố > 330,330,Nợ dài hạn,,10.631.629.750,10.611.629.750,,,10631629750.0,10611629750.0
337,Mãsố > 337,337,Phải trả dài hạn khác,,498.668.000,478.668.000,,,498668000.0,478668000.0
342,Mãsố > 342,342,Dự phòng phải trả dài hạn,20(b),10.132.961.750,10.132.961.750,,,10132961750.0,10132961750.0
400,Mãsố > 400,400,VỐN CHỦ SỞ HỮU,,11.388.506.364.277,10.759.191.200.872,,,11388506364277.0,10759191200872.0
410,Mãsố > 410,410,Vốn chủ sở hữu,,11.388.506.364.277,10.759.191.200.872,,,11388506364277.0,10759191200872.0
411,Mãsố > 411,411,Vốn góp của chủ sở hữu,"22, 23",3.380.747.760.000,3.380.747.760.000,,,3380747760000.0,3380747760000.0
411a,Mãsố > 411a,411a,- Cổ phiếu phổ thông có quyềnbiểu quyết,,3.380.747.760.000,3.380.747.760.000,,,3380747760000.0,3380747760000.0
412,Mãsố > 412,412,Thặng dư vốn cổ phần,23,1.950.309.912.458,1.950.309.912.458,,23.0,1950309912458.0,1950309912458.0
415,Mãsố > 415,415,Cổ phiếu quỹ,23,(3.384.090.000),(3.384.090.000),,23.0,-3384090000.0,-3384090000.0
418,Mãsố > 418,418,Quỹ đầu tư phát triển,23,3.471.447.556.918,2.626.281.556.918,,23.0,3471447556918.0,2626281556918.0
421,Mãsố > 421,421,"Lợi nhuận sau thuế (""LNST"")chưa phân phối",23,2.589.385.224.901,2.805.236.061.496,,23.0,2589385224901.0,2805236061496.0
421a,Mãsố > 421a,421a,- LNST chưa phân phối lũy kécủa các năm trước,,1.559.422.931.296,941.718.393.853,,,1559422931296.0,941718393853.0
421b,Mãsố > 421b,421b,- LNST chưa phân phối của kỳ này/năm nay,,1.029.962.293.605,1.863.517.667.643,,,1029962293605.0,1863517667643.0
440,Mãsố > 440,440,TỔNG NGUỒN VỐN,,16.383.802.266.010,16.220.461.685.792,,,16383802266010.0,16220461685792.0
