row_label_raw,row_label_full,Mr. Le Quang Phuc,Chairman,numeric__Chairman
Mr. Nguyen Tuan Hai,Mr. Nguyen Tuan Hai,Mr. Nguyen Tuan Hai,Member,
Mrs. Dang Thi Lai,Mrs. Dang Thi Lai,Mrs. Dang Thi Lai,Member(from 21 January 2025),
Mr. Nguyen Anh Tuan,Mr. Nguyen Anh Tuan,Mr. Nguyen Anh Tuan,Head of Internal Audit,
