row_label_raw,row_label_full,col_0,For the six-month period ended30.6.2025VND,For theyear ended31.12.2024VND,numeric__For the six-month period ended30.6.2025VND,numeric__For theyear ended31.12.2024VND
Beginning of period/year,Beginning of period/year,Beginning of period/year,"107,328,711,157","89,703,738,657",,
New issuance,New issuance,New issuance,"334,745,199,517","711,352,320,760",,
Utilised,Utilised,Utilised,"(340,307,071,517)","(691,058,348,260)",,
Expired,Expired,Expired,"(4,244,005,000)","(2,669,000,000)",,
End of period/year,End of period/year,End of period/year,"97,522,834,157","107,328,711,157",,
