row_label_raw,row_label_full,11 INVESTMENTS (continued),11 INVESTMENTS (continued)_1,11 INVESTMENTS (continued)_2,11 INVESTMENTS (continued)_3,11 INVESTMENTS (continued)_4,11 INVESTMENTS (continued)_5,11 INVESTMENTS (continued)_6,11 INVESTMENTS (continued)_7,numeric__11 INVESTMENTS (continued)_1,numeric__11 INVESTMENTS (continued)_2,numeric__11 INVESTMENTS (continued)_3,numeric__11 INVESTMENTS (continued)_4,numeric__11 INVESTMENTS (continued)_5,numeric__11 INVESTMENTS (continued)_6,numeric__11 INVESTMENTS (continued)_7
(c) Investments in other entities,(c) Investments in other entities,(c) Investments in other entities,(c) Investments in other entities,(c) Investments in other entities,(c) Investments in other entities,(c) Investments in other entities,(c) Investments in other entities,(c) Investments in other entities,(c) Investments in other entities,,,,,,,
,,,,30.6.2025,30.6.2025,30.6.2025,31.12.2024,31.12.2024,31.12.2024,,3062025.0,3062025.0,3062025.0,31122024.0,31122024.0,31122024.0
,,,,Cost VND,Fair value VND,Provision VND,Cost VND,Fair value VND,Provision VND,,,,,,,
(i) Investment in subsidiaries,(i) Investment in subsidiaries,(i) Investment in subsidiaries,(i) Investment in subsidiaries,(i) Investment in subsidiaries,(i) Investment in subsidiaries,(i) Investment in subsidiaries,(i) Investment in subsidiaries,(i) Investment in subsidiaries,(i) Investment in subsidiaries,,,,,,,
CAO Fashion Company Limited,CAO Fashion Company Limited,CAO Fashion Company Limited,"211,000,000,000",(*),"(29,348,000,000)","150,000,000,000",(*),"(29,348,000,000)",,,,,,,,
PNJ Laboratory Company Limited,PNJ Laboratory Company Limited,PNJ Laboratory Company Limited,"10,000,000,000",(*),-,"10,000,000,000",(*),-,,,,,,,,
PNJ Jewelry Production and Trading Company Limited,PNJ Jewelry Production and Trading Company Limited,PNJ Jewelry Production and Trading Company Limited,"500,000,000,000",(*),-,"500,000,000,000",(*),-,,,,,,,,
,,,"721,000,000,000",,"(29,348,000,000)","660,000,000,000",,"(29,348,000,000)",,,,,,,,
(ii) Investment in other entities,(ii) Investment in other entities,(ii) Investment in other entities,(ii) Investment in other entities,(ii) Investment in other entities,(ii) Investment in other entities,(ii) Investment in other entities,(ii) Investment in other entities,(ii) Investment in other entities,(ii) Investment in other entities,,,,,,,
Vikki Digital Bank Limited (**),Vikki Digital Bank Limited (**),Vikki Digital Bank Limited (**),"395,271,613,400",(*),"(395,271,613,400)","395,271,613,400",(*),"(395,271,613,400)",,,,,,,,
Golden Friend Joint Stock Company,Golden Friend Joint Stock Company,Golden Friend Joint Stock Company,"3,980,000,000",(*),-,"3,980,000,000",(*),-,,,,,,,,
FLVN Joint Stock Company,FLVN Joint Stock Company,FLVN Joint Stock Company,"1,950,000,000",(*),-,-,-,-,,,,,,,,
,,,"401,201,613,400",,"(395,271,613,400)","399,251,613,400",,"(395,271,613,400)",,,,,,,,
