row_label_raw,row_label_full,Số dư đầu kỳ/năm,Kỳ 6 thángkết thúc ngày30.6.2025VND > 194.792.430.639,Năm tài chínhkết thúc ngày31.12.2024VND > 117.924.380.098,numeric__Kỳ 6 thángkết thúc ngày30.6.2025VND > 194.792.430.639,numeric__Năm tài chínhkết thúc ngày31.12.2024VND > 117.924.380.098
Ghi nhận vào báo cáo kết quả hoạt động kinh doanh riêng giữa niên độ,Ghi nhận vào báo cáo kết quả hoạt động kinh doanh riêng giữa niên độ,Ghi nhận vào báo cáo kết quả hoạt động kinh doanh riêng giữa niên độ,3.596.994.199,76.868.050.541,3596994199.0,76868050541.0
Số dư cuối kỳ/năm,Số dư cuối kỳ/năm,Số dư cuối kỳ/năm,198.389.424.838,194.792.430.639,198389424838.0,194792430639.0
Chi tiết tài sản thuế TNDN hoãn lại:,Chi tiết tài sản thuế TNDN hoãn lại:,Chi tiết tài sản thuế TNDN hoãn lại:,Chi tiết tài sản thuế TNDN hoãn lại:,Chi tiết tài sản thuế TNDN hoãn lại:,,
,,,30.6.2025VND,31.12.2024VND,,
Dự phòng đầu tư tài chính dài hạn,Chi tiết tài sản thuế TNDN hoãn lại: > Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,79.054.322.681,79.054.322.681,79054322681.0,79054322681.0
Dự phòng giảm giá hàng tồn kho,Chi tiết tài sản thuế TNDN hoãn lại: > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,87.982.542.260,84.122.304.025,87982542260.0,84122304025.0
Khác,Chi tiết tài sản thuế TNDN hoãn lại: > Khác,Khác,31.352.559.897,31.615.803.933,31352559897.0,31615803933.0
,,,198.389.424.838,194.792.430.639,198389424838.0,194792430639.0
