row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Kỳ 6 tháng kết thúc ngày > 30.6.2025 VND,Kỳ 6 tháng kết thúc ngày > 30.6.2024 VND,numeric__col_1,numeric__Thuyết minh,numeric__Kỳ 6 tháng kết thúc ngày > 30.6.2025 VND,numeric__Kỳ 6 tháng kết thúc ngày > 30.6.2024 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,17.349.538.591.458,22.475.700.075.184,,,17349538591458.0,22475700075184.0
02,02,02,Khoản giảm trừ doanh thu,,204.404.849.434,193.660.033.509,,,204404849434.0,193660033509.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),26,17.145.133.742.024,22.282.040.041.675,,26.0,17145133742024.0,22282040041675.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,27,13.707.590.171.818,18.874.996.823.248,,27.0,13707590171818.0,18874996823248.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),,3.437.543.570.206,3.407.043.218.427,,,3437543570206.0,3407043218427.0
21,21,21,Doanh thu hoạt động tài chính,28,57.078.955.126,18.155.509.014,,28.0,57078955126.0,18155509014.0
22,22,22,Chi phí tài chính,29,74.417.646.221,32.530.764.625,,29.0,74417646221.0,32530764625.0
23,23,23,- Trong đó: Chi phí lãi vay,,54.019.737.147,15.667.290.453,,,54019737147.0,15667290453.0
25,25,25,Chi phí bán hàng,30,1.790.006.453.331,1.689.486.027.202,,30.0,1790006453331.0,1689486027202.0
26,26,26,Chi phí quản lý doanh nghiệp,31,351.592.972.068,368.578.918.923,,31.0,351592972068.0,368578918923.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh (30 = 20 + 21 - 22 - 25 - 26),,1.278.605.453.712,1.334.603.016.691,,,1278605453712.0,1334603016691.0
31,31,31,Thu nhập khác,,13.943.804.369,4.055.107.977,,,13943804369.0,4055107977.0
32,32,32,Chi phí khác,,2.929.592.776,3.349.801.181,,,2929592776.0,3349801181.0
40,40,40,Lợi nhuận khác (40 = 31 - 32),,11.014.211.593,705.306.796,,,11014211593.0,705306796.0
50,50,50,Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),,1.289.619.665.305,1.335.308.323.487,,,1289619665305.0,1335308323487.0
51,51,51,"Chi phí thuế thu nhập doanh nghiệp (""TNDN"") hiện hành",32,263.254.365.899,277.769.644.645,,32.0,263254365899.0,277769644645.0
52,52,52,Thu nhập thuế TNDN hoãn lại,32,(3.596.994.199),(9.603.611.207),,32.0,-3596994199.0,-9603611207.0
60,60,60,Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52),,1.029.962.293.605,1.067.142.290.049,,,1029962293605.0,1067142290049.0
