row_label_raw,row_label_full,col_0,For the six-month period ended,For the six-month period ended_1,numeric__For the six-month period ended,numeric__For the six-month period ended_1
,,,30.6.2025VND,30.6.2024VND,,
Revenue from sales of goods and rendering of services,Revenue from sales of goods and rendering of services,Revenue from sales of goods and rendering of services,Revenue from sales of goods and rendering of services,Revenue from sales of goods and rendering of services,,
Revenue from sales of jewelry,Revenue from sales of jewelry,Revenue from sales of jewelry,"17,290,327,321,087","22,407,696,037,237",,
Revenue from rendering of services,Revenue from rendering of services,Revenue from rendering of services,"35,488,330,539","33,541,288,724",,
Revenue from sales of accessories,Revenue from sales of accessories,Revenue from sales of accessories,"23,722,939,832","34,462,749,223",,
,,,"17,349,538,591,458","22,475,700,075,184",,
Sales deduction,Sales deduction,Sales deduction,Sales deduction,Sales deduction,,
Sales return,Sales return,Sales return,"204,404,849,434","193,660,033,509",,
Net revenue from sales of goods and rendering of services,Net revenue from sales of goods and rendering of services,Net revenue from sales of goods and rendering of services,Net revenue from sales of goods and rendering of services,Net revenue from sales of goods and rendering of services,,
Net revenue from sales of jewelry,Net revenue from sales of jewelry,Net revenue from sales of jewelry,"17,085,922,471,653","22,214,036,003,728",,
Net revenue from rendering of services,Net revenue from rendering of services,Net revenue from rendering of services,"35,488,330,539","33,541,288,724",,
Net revenue from sales of accessories,Net revenue from sales of accessories,Net revenue from sales of accessories,"23,722,939,832","34,462,749,223",,
,,,"17,145,133,742,024","22,282,040,041,675",,
